symbol,disclosure_date,txn_type,qty,value,person_category,person_name,raw_json,raw_comName,raw_shp,raw_totIssuedShares,raw_totPromoterHolding,raw_percPromoterHolding,raw_totPublicHolding,raw_totPromoterShares,raw_percPromoterShares,raw_percTotShares,raw_disclosureFromDate,raw_numSharesPledged,raw_totDematShares,raw_sharesCollateral,raw_nbfcPromoShare,raw_nbfcNonPromoShare,raw_percSharesPledged,raw_broadcastDt,raw_disclosureToDate,raw_compBroadcastDate,raw_noOfPledgeShare,raw_noOfSecPledgeShare,fetched_at
,,,,,,,"{""comName"": ""Nagreeka Capital & Infrastructure Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""12615300"", ""totPromoterHolding"": ""6753159"", ""percPromoterHolding"": ""    53.53"", ""totPublicHolding"": ""5862141"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""105769"", ""totDematShares"": ""12152375"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""0.87"", ""broadcastDt"": ""30-Mar-2026 16:31:11"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": null, ""noOfSecPledgeShare"": null}",Nagreeka Capital & Infrastructure Limited,31-Dec-2025,12615300,6753159,    53.53,5862141,0,     0.00,     0.00,,105769,12152375,0,0,0,0.87,30-Mar-2026 16:31:11,,,,,2026-03-30
,,,,,,,"{""comName"": ""Nagreeka Exports Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""31249250"", ""totPromoterHolding"": ""17910871"", ""percPromoterHolding"": ""    57.32"", ""totPublicHolding"": ""13338379"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""96390"", ""totDematShares"": ""31108137"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""0.31"", ""broadcastDt"": ""30-Mar-2026 16:31:11"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""0.244""}",Nagreeka Exports Limited,31-Dec-2025,31249250,17910871,    57.32,13338379,0,     0.00,     0.00,,96390,31108137,0,0,0,0.31,30-Mar-2026 16:31:11,,,0,0.244,2026-03-30
,,,,,,,"{""comName"": ""Nahar Capital and Financial Services Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""16746167"", ""totPromoterHolding"": ""12090457"", ""percPromoterHolding"": ""    72.20"", ""totPublicHolding"": ""4655710"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""650538"", ""totDematShares"": ""16639748"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""3.91"", ""broadcastDt"": ""30-Mar-2026 16:31:13"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""16.771""}",Nahar Capital and Financial Services Limited,31-Dec-2025,16746167,12090457,    72.20,4655710,0,     0.00,     0.00,,650538,16639748,0,0,0,3.91,30-Mar-2026 16:31:13,,,0,16.771,2026-03-30
,,,,,,,"{""comName"": ""Nahar Industrial Enterprises Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""43205581"", ""totPromoterHolding"": ""30781065"", ""percPromoterHolding"": ""    71.24"", ""totPublicHolding"": ""12424516"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""368887"", ""totDematShares"": ""43089722"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""0.86"", ""broadcastDt"": ""30-Mar-2026 16:31:04"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""4.034""}",Nahar Industrial Enterprises Limited,31-Dec-2025,43205581,30781065,    71.24,12424516,0,     0.00,     0.00,,368887,43089722,0,0,0,0.86,30-Mar-2026 16:31:04,,,0,4.034,2026-03-30
,,,,,,,"{""comName"": ""Nahar Poly Films Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""24587991"", ""totPromoterHolding"": ""17771731"", ""percPromoterHolding"": ""    72.28"", ""totPublicHolding"": ""6816260"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""158786"", ""totDematShares"": ""24086545"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""0.66"", ""broadcastDt"": ""30-Mar-2026 16:31:10"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""3.7""}",Nahar Poly Films Limited,31-Dec-2025,24587991,17771731,    72.28,6816260,0,     0.00,     0.00,,158786,24086545,0,0,0,0.66,30-Mar-2026 16:31:10,,,0,3.7,2026-03-30
,,,,,,,"{""comName"": ""Nahar Spinning Mills Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""36065303"", ""totPromoterHolding"": ""24317690"", ""percPromoterHolding"": ""    67.43"", ""totPublicHolding"": ""11747613"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""503956"", ""totDematShares"": ""35667495"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""1.41"", ""broadcastDt"": ""30-Mar-2026 16:31:10"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""9.827""}",Nahar Spinning Mills Limited,31-Dec-2025,36065303,24317690,    67.43,11747613,0,     0.00,     0.00,,503956,35667495,0,0,0,1.41,30-Mar-2026 16:31:10,,,0,9.827,2026-03-30
,,,,,,,"{""comName"": ""Nakoda Group of Industries Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""17815198"", ""totPromoterHolding"": ""10048195"", ""percPromoterHolding"": ""    56.40"", ""totPublicHolding"": ""7767003"", ""totPromoterShares"": ""900000"", ""percPromoterShares"": ""     8.96"", ""percTotShares"": ""     5.05"", ""disclosureFromDate"": null, ""numSharesPledged"": ""1429408"", ""totDematShares"": ""17538052"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""8.15"", ""broadcastDt"": ""30-Mar-2026 16:31:28"", ""disclosureToDate"": null, ""compBroadcastDate"": null, ""noOfPledgeShare"": ""2.759"", ""noOfSecPledgeShare"": ""4.383""}",Nakoda Group of Industries Limited,31-Dec-2025,17815198,10048195,    56.40,7767003,900000,     8.96,     5.05,,1429408,17538052,0,0,0,8.15,30-Mar-2026 16:31:28,,,2.759,4.383,2026-03-30
,,,,,,,"{""comName"": ""Nakoda Limited"", ""shp"": ""30-Sep-2017"", ""totIssuedShares"": ""300000000"", ""totPromoterHolding"": ""136849600"", ""percPromoterHolding"": ""    45.62"", ""totPublicHolding"": ""163150400"", ""totPromoterShares"": ""6218400"", ""percPromoterShares"": ""     4.54"", ""percTotShares"": ""     2.07"", ""disclosureFromDate"": null, ""numSharesPledged"": ""7818578"", ""totDematShares"": ""296060843"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""2.64"", ""broadcastDt"": ""30-Mar-2026 16:31:21"", ""disclosureToDate"": null, ""compBroadcastDate"": ""30-09-2014"", ""noOfPledgeShare"": null, ""noOfSecPledgeShare"": null}",Nakoda Limited,30-Sep-2017,300000000,136849600,    45.62,163150400,6218400,     4.54,     2.07,,7818578,296060843,0,0,0,2.64,30-Mar-2026 16:31:21,,30-09-2014,,,2026-03-30
,,,,,,,"{""comName"": ""Nalwa Sons Investments Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""5136163"", ""totPromoterHolding"": ""2856490"", ""percPromoterHolding"": ""    55.62"", ""totPublicHolding"": ""2279673"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""91604"", ""totDematShares"": ""4994195"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""1.83"", ""broadcastDt"": ""30-Mar-2026 16:30:58"", ""disclosureToDate"": null, ""compBroadcastDate"": ""24-10-2019"", ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""59.73""}",Nalwa Sons Investments Limited,31-Dec-2025,5136163,2856490,    55.62,2279673,0,     0.00,     0.00,,91604,4994195,0,0,0,1.83,30-Mar-2026 16:30:58,,24-10-2019,0,59.73,2026-03-30
,,,,,,,"{""comName"": ""Nandan Denim Limited"", ""shp"": ""31-Dec-2025"", ""totIssuedShares"": ""1441471680"", ""totPromoterHolding"": ""735324200"", ""percPromoterHolding"": ""    51.01"", ""totPublicHolding"": ""706147480"", ""totPromoterShares"": ""0"", ""percPromoterShares"": ""     0.00"", ""percTotShares"": ""     0.00"", ""disclosureFromDate"": null, ""numSharesPledged"": ""26840744"", ""totDematShares"": ""1441308280"", ""sharesCollateral"": ""0"", ""nbfcPromoShare"": ""0"", ""nbfcNonPromoShare"": ""0"", ""percSharesPledged"": ""1.86"", ""broadcastDt"": ""30-Mar-2026 16:31:20"", ""disclosureToDate"": null, ""compBroadcastDate"": ""30-01-2017"", ""noOfPledgeShare"": ""0"", ""noOfSecPledgeShare"": ""7.918""}",Nandan Denim Limited,31-Dec-2025,1441471680,735324200,    51.01,706147480,0,     0.00,     0.00,,26840744,1441308280,0,0,0,1.86,30-Mar-2026 16:31:20,,30-01-2017,0,7.918,2026-03-30
