symbol_nse,company_name,industry,isin,source_csv
NSE:M&MFIN-EQ,Mahindra & Mahindra Financial Services Ltd.,Financial Services,INE774D01024,nifty500.csv
NSE:MAHABANK-EQ,Bank of Maharashtra,Financial Services,INE457A01014,nifty500.csv
NSE:MAHSCOOTER-EQ,Maharashtra Scooters Ltd.,Financial Services,INE288A01013,nifty500.csv
NSE:MAHSEAMLES-EQ,Maharashtra Seamless Ltd.,Capital Goods,INE271B01025,nifty500.csv
NSE:MANAPPURAM-EQ,Manappuram Finance Ltd.,Financial Services,INE522D01027,nifty500.csv
NSE:MANKIND-EQ,Mankind Pharma Ltd.,Healthcare,INE634S01028,nifty500.csv
NSE:MANORAMA-EQ,Manorama Industries Ltd.,Fast Moving Consumer Goods,INE00VM01036,nifty_total_market.csv
NSE:MANYAVAR-EQ,Vedant Fashions Ltd.,Consumer Services,INE825V01034,nifty500.csv
NSE:MAPMYINDIA-EQ,C.E. Info Systems Ltd.,Information Technology,INE0BV301023,nifty500.csv
NSE:MARICO-EQ,Marico Ltd.,Fast Moving Consumer Goods,INE196A01026,nifty500.csv
NSE:MARKSANS-EQ,Marksans Pharma Ltd.,Healthcare,INE750C01026,nifty_total_market.csv
NSE:MARUTI-EQ,Maruti Suzuki India Ltd.,Automobile and Auto Components,INE585B01010,nifty500.csv
NSE:MASTEK-EQ,Mastek Ltd.,Information Technology,INE759A01021,nifty_total_market.csv
NSE:MAXHEALTH-EQ,Max Healthcare Institute Ltd.,Healthcare,INE027H01010,nifty500.csv
NSE:MAZDOCK-EQ,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,INE249Z01020,nifty500.csv
NSE:MCX-EQ,Multi Commodity Exchange of India Ltd.,Financial Services,INE745G01043,nifty500.csv
NSE:MEDANTA-EQ,Global Health Ltd.,Healthcare,INE474Q01031,nifty500.csv
NSE:MEDPLUS-EQ,Medplus Health Services Ltd.,Consumer Services,INE804L01022,nifty_total_market.csv
NSE:MEESHO-EQ,Meesho Ltd.,Consumer Services,INE0VDM01015,nifty_total_market.csv
NSE:METROPOLIS-EQ,Metropolis Healthcare Ltd.,Healthcare,INE112L01020,nifty500.csv
NSE:MFSL-EQ,Max Financial Services Ltd.,Financial Services,INE180A01020,nifty500.csv
NSE:MGL-EQ,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,INE002S01010,nifty500.csv
NSE:MIDHANI-EQ,Mishra Dhatu Nigam Ltd.,Capital Goods,INE099Z01011,nifty_total_market.csv
NSE:MINDACORP-EQ,Minda Corporation Ltd.,Automobile and Auto Components,INE842C01021,nifty500.csv
NSE:MMTC-EQ,MMTC Ltd.,Services,INE123F01029,nifty500.csv
NSE:MOIL-EQ,MOIL Ltd.,Metals & Mining,INE490G01020,nifty_total_market.csv
