symbol,screener_slug,q_eps_latest,q_eps_yoy_base,q_eps_yoy_pct,a_eps_latest,a_eps_prev,a_eps_yoy_pct,fetch_status,error
TRANSRAILL,TRANSRAILL,8.3300,7.2700,14.5805,32.4400,24.9000,30.2811,ok,
TRAVELFOOD,TRAVELFOOD,,,,,,,error,http_429
TRENT,TRENT,18.0000,13.2000,36.3636,52.4100,44.5800,17.5639,ok,
TRIDENT,TRIDENT,,,,,,,error,http_429
TRITURBINE,TRITURBINE,2.9900,3.8200,-21.7277,11.0500,11.7800,-6.1969,ok,
TRIVENI,TRIVENI,,,,,,,error,http_429
TSFINV,TSFINV,,,,,,,error,http_429
TTML,TTML,-0.7700,-1.6100,52.1739,-5.6400,-6.5200,13.4969,ok,
TVSMOTOR,TVSMOTOR,19.7900,13.0200,51.9969,73.1900,57.0500,28.2910,ok,
TVSSCS,TVSSCS,,,,,,,error,http_429
UBL,UBL,3.0600,1.4500,111.0345,15.4700,16.6900,-7.3098,ok,
UCOBANK,UCOBANK,,,,,,,error,http_429
UJJIVANSFB,UJJIVANSFB,0.9600,0.5600,71.4286,2.5500,3.7500,-32.0000,ok,
ULTRACEMCO,ULTRACEMCO,,,,,,,error,http_429
UNIONBANK,UNIONBANK,6.5700,6.0300,8.9552,24.0600,23.5600,2.1222,ok,
UNITDSPR,UNITDSPR,,,,,,,error,http_429
UNOMINDA,UNOMINDA,2.7100,2.7400,-1.0949,16.4700,13.8700,18.7455,ok,
UPL,UPL,,,,,,,error,http_429
URBANCO,URBANCO,-0.1100,735.6300,-100.0150,5.9200,-604.2100,100.9798,ok,
USHAMART,USHAMART,,,,,,,error,http_429
UTIAMC,UTIAMC,9.6200,11.1400,-13.6445,49.1500,51.0700,-3.7595,ok,
UTLSOLAR,UTLSOLAR,,,,,,,error,http_429
V2RETAIL,V2RETAIL,2.7200,1.4700,85.0340,4.2300,2.0500,106.3415,ok,
VAIBHAVGBL,VAIBHAVGBL,,,,,,,error,http_429
VARROC,VARROC,2.1000,2.9800,-29.5302,19.1200,18.0500,5.9280,ok,
VBL,VBL,,,,,,,error,http_429
VEDL,VEDL,7.4300,4.5600,62.9386,31.3200,45.8500,-31.6903,ok,
VGUARD,VGUARD,,,,,,,error,http_429
VIJAYA,VIJAYA,,,,,,,error,http_429
VIKRAMSOLR,VIKRAMSOLR,2.6600,0.6600,303.0303,13.0800,4.3900,197.9499,ok,
VIPIND,VIPIND,,,,,,,error,http_429
VIYASH,VIYASH,-0.0000,2.0400,-100.0000,1.2100,0.6300,92.0635,ok,
VMART,VMART,,,,,,,error,http_429
VMM,VMM,0.3900,0.2900,34.4828,1.2800,1.0300,24.2718,ok,
VOLTAMP,VOLTAMP,,,,,,,error,http_429
VOLTAS,VOLTAS,1.4500,3.2700,-55.6575,14.4800,23.4800,-38.3305,ok,
VTL,VTL,,,,,,,error,http_429
WAAREEENER,WAAREEENER,35.1000,16.4100,113.8940,118.5900,62.0000,91.2742,ok,
WAAREERTL,WAAREERTL,,,,,,,error,http_429
WABAG,WABAG,12.9400,10.3200,25.3876,49.9400,43.6200,14.4888,ok,
WAKEFIT,WAKEFIT,,,,,,,error,http_429
WEBELSOLAR,WEBELSOLAR,1.5400,0.9800,57.1429,5.3700,3.6700,46.3215,ok,
WELCORP,WELCORP,6.1000,5.9400,2.6936,47.3400,32.0800,47.5686,ok,
WELENT,WELENT,,,,,,,error,http_429
WELSPUNLIV,WELSPUNLIV,-0.1100,0.9200,-111.9565,3.2400,5.2800,-38.6364,ok,
WESTLIFE,WESTLIFE,,,,,,,error,http_429
WEWORK,WEWORK,,,,,,,error,http_429
WHIRLPOOL,WHIRLPOOL,1.0600,2.1100,-49.7630,22.5900,24.7000,-8.5425,ok,
WIPRO,WIPRO,2.9000,2.7900,3.9427,11.5600,10.3100,12.1242,ok,
WOCKPHARMA,WOCKPHARMA,,,,,,,error,http_429
YATHARTH,YATHARTH,2.4800,2.3100,7.3593,9.7000,9.1000,6.5934,ok,
YESBANK,YESBANK,,,,,,,error,http_429
ZAGGLE,ZAGGLE,2.6800,1.5100,77.4834,9.4700,6.5200,45.2454,ok,
ZEEL,ZEEL,,,,,,,error,http_429
ZENSARTECH,ZENSARTECH,7.1300,6.7500,5.6296,27.8700,26.1900,6.4147,ok,
ZENTEC,ZENTEC,,,,,,,error,http_429
ZFCVINDIA,ZFCVINDIA,73.1100,65.8500,11.0251,258.6000,241.8100,6.9435,ok,
ZYDUSLIFE,ZYDUSLIFE,,,,,,,error,http_429
ZYDUSWELL,ZYDUSWELL,0.3800,0.3700,2.7027,0.9100,0.9600,-5.2083,ok,
