symbol,screener_slug,q_eps_latest,q_eps_yoy_base,q_eps_yoy_pct,a_eps_latest,a_eps_prev,a_eps_yoy_pct,fetch_status,error
ELECON,ELECON,4.3200,5.5900,-22.7191,21.2400,15.1500,40.1980,ok,
ELECTCAST,ELECTCAST,,,,,,,error,http_429
ELGIEQUIP,ELGIEQUIP,,,,,,,error,http_429
ELLEN,ELLEN,1.8500,1.4700,25.8503,7.1800,6.3600,12.8931,ok,
EMAMILTD,EMAMILTD,,,,,,,error,http_429
EMBDL,EMBDL,-0.5300,0.0500,-1160.0000,-1.8700,2.1600,-186.5741,ok,
EMCURE,EMCURE,,,,,,,error,http_429
EMIL,EMIL,0.7700,0.8700,-11.4943,2.4400,4.1600,-41.3462,ok,
EMMVEE,EMMVEE,,,,,,,error,http_429
ENDURANCE,ENDURANCE,12.1300,11.1500,8.7892,49.6400,48.2500,2.8808,ok,
ENGINERSIN,ENGINERSIN,,,,,,,error,http_429
ENRIN,ENRIN,,,,,,,no_eps_rows,
ENTERO,ENTERO,,,,,,,error,http_429
EPL,EPL,3.9500,1.3800,186.2319,9.8700,6.5700,50.2283,ok,
EQUITASBNK,EQUITASBNK,,,,,,,error,http_429
ERIS,ERIS,0.2300,0.1300,76.9231,20.7900,5.6800,266.0211,ok,
ESCORTS,ESCORTS,,,,,,,error,http_429
ETERNAL,ETERNAL,0.6800,0.5100,33.3333,2.6200,2.0300,29.0640,ok,
ETHOSLTD,ETHOSLTD,,,,,,,error,http_429
EUREKAFORB,EUREKAFORB,0.4700,1.8000,-73.8889,8.2600,8.4400,-2.1327,ok,
EXIDEIND,EXIDEIND,,,,,,,error,http_429
FACT,FACT,-1.0500,0.1200,-975.0000,0.4300,0.6400,-32.8125,ok,
FEDERALBNK,FEDERALBNK,,,,,,,error,http_429
FEDFINA,FEDFINA,,,,,,,error,http_429
FIEMIND,FIEMIND,24.1100,18.0200,33.7958,91.5600,77.5600,18.0505,ok,
FINCABLES,FINCABLES,,,,,,,error,http_429
FINPIPE,FINPIPE,1.7700,1.1400,55.2632,7.6700,12.5400,-38.8357,ok,
FIRSTCRY,FIRSTCRY,,,,,,,error,http_429
FIVESTAR,FIVESTAR,9.4100,9.3300,0.8574,37.6500,36.4300,3.3489,ok,
FLUOROCHEM,FLUOROCHEM,,,,,,,error,http_429
FORCEMOT,FORCEMOT,305.7500,83.5300,266.0362,1037.6500,607.1300,70.9107,ok,
FORTIS,FORTIS,0.3800,0.5200,-26.9231,2.1700,0.8400,158.3333,ok,
FSL,FSL,,,,,,,error,http_429
GABRIEL,GABRIEL,4.5700,3.7600,21.5426,16.4300,14.7500,11.3898,ok,
GAEL,GAEL,,,,,,,error,http_429
GAIL,GAIL,,,,,,,error,http_429
GALLANTT,GALLANTT,4.1600,4.7100,-11.6773,19.8000,16.6100,19.2053,ok,
GESHIP,GESHIP,,,,,,,error,http_429
GHCL,GHCL,11.6100,17.5800,-33.9590,53.7900,65.4000,-17.7523,ok,
GICRE,GICRE,,,,,,,error,http_429
GILLETTE,GILLETTE,52.9300,38.6600,36.9115,190.4200,128.1700,48.5683,ok,
GLAND,GLAND,,,,,,,error,http_429
GLAXO,GLAXO,16.3600,13.4900,21.2750,58.8500,54.2500,8.4793,ok,
GLENMARK,GLENMARK,10.0000,14.6600,-31.7872,0.7500,57.0700,-98.6858,ok,
GMDCLTD,GMDCLTD,,,,,,,error,http_429
GMMPFAUDLR,GMMPFAUDLR,1.3100,2.6100,-49.8084,12.9000,9.4000,37.2340,ok,
GMRAIRPORT,GMRAIRPORT,,,,,,,error,http_429
GMRP&UI,GMRP&UI,,,,,,,error,http_429
GNFC,GNFC,10.2100,10.7500,-5.0233,41.8600,39.8500,5.0439,ok,
GODFRYPHLP,GODFRYPHLP,22.6700,21.3000,6.4319,81.0200,66.8700,21.1605,ok,
GODIGIT,GODIGIT,,,,,,,error,http_429
GODREJAGRO,GODREJAGRO,,,,,,,error,http_429
GODREJCP,GODREJCP,3.7400,3.3400,11.9760,13.1200,13.2000,-0.6061,ok,
GODREJIND,GODREJIND,,,,,,,error,http_429
GODREJPROP,GODREJPROP,2.0000,1.1600,72.4138,13.5400,33.5700,-59.6664,ok,
GOKEX,GOKEX,,,,,,,error,http_429
GOKULAGRO,GOKULAGRO,2.1200,1.9600,8.1633,8.4300,6.8100,23.7885,ok,
GPIL,GPIL,,,,,,,error,http_429
GPPL,GPPL,2.1000,1.9400,8.2474,9.7100,8.2600,17.5545,ok,
GRANULES,GRANULES,4.6000,3.7200,23.6559,16.3100,13.1700,23.8421,ok,
GRAPHITE,GRAPHITE,,,,,,,error,http_429
GRASIM,GRASIM,-2.5600,-2.5600,0.0000,3.2900,3.1200,5.4487,ok,
GRAVITA,GRAVITA,,,,,,,error,http_429
GREAVESCOT,GREAVESCOT,1.8500,2.1100,-12.3223,9.2000,8.0000,15.0000,ok,
GROWW,GROWW,,,,,,,error,http_429
GRSE,GRSE,14.9100,8.5700,73.9790,60.1500,46.0400,30.6473,ok,
GRWRHITECH,GRWRHITECH,,,,,,,error,http_429
GSFC,GSFC,3.9400,3.0000,31.3333,16.9500,14.3800,17.8720,ok,
GSPL,GSPL,,,,,,,error,http_429
GVT&D,GVT&D,,,,,,,error,http_429
HAL,HAL,27.6900,21.4200,29.2717,132.3300,124.3600,6.4088,ok,
HAPPSTMNDS,HAPPSTMNDS,,,,,,,error,http_429
HAVELLS,HAVELLS,4.8000,4.5100,6.4302,23.8100,23.7500,0.2526,ok,
HBLENGINE,HBLENGINE,,,,,,,error,http_429
HCC,HCC,0.3300,-0.8300,139.7590,1.4900,0.3200,365.6250,ok,
HCG,HCG,,,,,,,error,http_429
HCLTECH,HCLTECH,10.9900,12.9900,-15.3965,42.6400,45.2000,-5.6637,ok,
HDBFS,HDBFS,,,,,,,error,http_429
HDFCAMC,HDFCAMC,14.5500,14.9400,-2.6104,66.7500,57.5500,15.9861,ok,
HDFCBANK,HDFCBANK,12.1200,10.9400,10.7861,47.6000,44.0100,8.1572,ok,
HDFCLIFE,HDFCLIFE,,,,,,,error,http_429
HEG,HEG,7.3200,5.0900,43.8114,14.6200,5.2500,178.4762,ok,
HEMIPROP,HEMIPROP,,,,,,,error,http_429
HERITGFOOD,HERITGFOOD,3.2900,4.4500,-26.0674,14.7900,18.1100,-18.3324,ok,
HEROMOTOCO,HEROMOTOCO,,,,,,,error,http_429
HEXT,HEXT,1.6400,3.2400,-49.3827,12.7600,12.9000,-1.0853,ok,
HFCL,HFCL,,,,,,,error,http_429
HGINFRA,HGINFRA,14.8600,20.9500,-29.0692,77.0300,88.5500,-13.0096,ok,
HINDALCO,HINDALCO,,,,,,,error,http_429
HINDCOPPER,HINDCOPPER,1.6200,0.6500,149.2308,6.9000,4.8500,42.2680,ok,
HINDPETRO,HINDPETRO,19.1400,14.2100,34.6939,73.4500,34.6100,112.2219,ok,
HINDUNILVR,HINDUNILVR,,,,,,,error,http_429
HINDZINC,HINDZINC,9.1800,6.2600,46.6454,27.6700,24.3300,13.7279,ok,
HOMEFIRST,HOMEFIRST,,,,,,,error,http_429
HONASA,HONASA,1.4800,0.7600,94.7368,4.6500,1.9700,136.0406,ok,
HONAUT,HONAUT,,,,,,,error,http_429
HSCL,HSCL,3.8600,2.8800,34.0278,14.5400,11.3000,28.6726,ok,
HUDCO,HUDCO,,,,,,,error,http_429
HYUNDAI,HYUNDAI,14.7100,13.8300,6.3630,69.9600,67.5900,3.5064,ok,
ICICIAMC,ICICIAMC,,,,,,,error,http_429
ICICIBANK,ICICIBANK,15.8300,16.7000,-5.2096,68.7500,66.3100,3.6797,ok,
ICICIGI,ICICIGI,,,,,,,error,http_429
ICICIPRULI,ICICIPRULI,4.2000,2.6700,57.3034,11.0400,8.2300,34.1434,ok,
ICIL,ICIL,,,,,,,error,http_429
IDBI,IDBI,1.8000,1.7700,1.6949,8.9500,6.9900,28.0401,ok,
IDEA,IDEA,,,,,,,error,http_429
IDFCFIRSTB,IDFCFIRSTB,0.5800,0.4600,26.0870,2.1100,2.0800,1.4423,ok,
IEX,IEX,,,,,,,error,http_429
IFBIND,IFBIND,6.0500,8.4800,-28.6557,30.0900,31.7900,-5.3476,ok,
IFCI,IFCI,,,,,,,error,http_429
IGIL,IGIL,3.0400,2.5800,17.8295,12.6600,10.1600,24.6063,ok,
IGL,IGL,,,,,,,error,http_429
IIFL,IIFL,,,,,,,error,http_429
IIFLCAPS,IIFLCAPS,3.7200,5.4700,-31.9927,13.9100,19.4500,-28.4833,ok,
IKS,IKS,,,,,,,error,http_429
IMFA,IMFA,24.2200,17.2600,40.3244,68.2100,70.0800,-2.6684,ok,
INDGN,INDGN,,,,,,,error,http_429
INDHOTEL,INDHOTEL,6.4700,3.2900,96.6565,13.6000,9.9300,36.9587,ok,
INDIACEM,INDIACEM,,,,,,,error,http_429
INDIAGLYCO,INDIAGLYCO,9.7400,7.0800,37.5706,35.1200,29.1400,20.5216,ok,
INDIAMART,INDIAMART,,,,,,,error,http_429
INDIANB,INDIANB,22.7300,21.1800,7.3182,89.1600,81.0600,9.9926,ok,
INDIASHLTR,INDIASHLTR,11.4100,8.9100,28.0584,43.7000,34.9500,25.0358,ok,
INDIGO,INDIGO,,,,,,,error,http_429
INDIGOPNTS,INDIGOPNTS,,,,,,,error,http_429
INDUSINDBK,INDUSINDBK,2.0700,17.9900,-88.4936,-23.5600,33.9200,-169.4575,ok,
INDUSTOWER,INDUSTOWER,,,,,,,error,http_429
INFY,INFY,18.1600,15.3100,18.6153,67.5200,61.5600,9.6816,ok,
INOXGREEN,INOXGREEN,,,,,,,error,http_429
INOXINDIA,INOXINDIA,6.5100,6.3100,3.1696,26.8000,24.8000,8.0645,ok,
INOXWIND,INOXWIND,,,,,,,error,http_429
INTELLECT,INTELLECT,-0.5200,2.4600,-121.1382,14.9500,13.9600,7.0917,ok,
IOB,IOB,,,,,,,error,http_429
IOC,IOC,8.5900,2.0300,323.1527,23.1500,9.1800,152.1786,ok,
IONEXCHANG,IONEXCHANG,,,,,,,error,http_429
IPCALAB,IPCALAB,11.9600,10.5500,13.3649,31.7400,25.6500,23.7427,ok,
IRB,IRB,,,,,,,error,http_429
IRCON,IRCON,0.9700,1.5000,-35.3333,6.8500,7.8400,-12.6276,ok,
IRCTC,IRCTC,,,,,,,error,http_429
IREDA,IREDA,2.0800,1.5800,31.6456,6.7800,6.3200,7.2785,ok,
IRFC,IRFC,,,,,,,error,http_429
ITC,ITC,4.0600,4.5100,-9.9778,27.7400,28.1200,-1.3514,ok,
ITCHOTELS,ITCHOTELS,,,,,,,error,http_429
ITI,ITI,-0.2700,-0.7000,61.4286,-1.5400,-2.4300,36.6255,ok,
IXIGO,IXIGO,,,,,,,error,http_429
J&KBANK,J&KBANK,5.3300,4.8300,10.3520,19.5300,18.9100,3.2787,ok,
JAIBALAJI,JAIBALAJI,,,,,,,error,http_429
JAINREC,JAINREC,,,,,,,error,http_429
JAMNAAUTO,JAMNAAUTO,1.6200,1.3600,19.1176,5.6600,5.2900,6.9943,ok,
JAYNECOIND,JAYNECOIND,,,,,,,error,http_429
JBCHEPHARM,JBCHEPHARM,11.4400,10.0500,13.8308,46.5400,41.9200,11.0210,ok,
JBMA,JBMA,,,,,,,error,http_429
JINDALSAW,JINDALSAW,3.5500,7.4600,-52.4129,17.9000,29.3100,-38.9287,ok,
JINDALSTEL,JINDALSTEL,,,,,,,error,http_429
JIOFIN,JIOFIN,0.1300,0.1500,-13.3333,1.0700,0.8600,24.4186,ok,
JKCEMENT,JKCEMENT,,,,,,,error,http_429
JKLAKSHMI,JKLAKSHMI,4.6800,6.6600,-29.7297,38.6300,24.0300,60.7574,ok,
JKPAPER,JKPAPER,,,,,,,error,http_429
JKTYRE,JKTYRE,6.1800,2.0100,207.4627,23.6400,14.0600,68.1366,ok,
JLHL,JLHL,,,,,,,error,http_429
JMFINANCIL,JMFINANCIL,3.0100,0.7400,306.7568,8.3900,5.6400,48.7589,ok,
JPPOWER,JPPOWER,,,,,,,error,http_429
JSFB,JSFB,,,,,,,error,http_429
JSL,JSL,8.0800,7.5100,7.5899,34.9100,32.9100,6.0772,ok,
JSLL,JSLL,5.3700,1.0600,406.6038,16.4300,7.3000,125.0685,ok,
JSWCEMENT,JSWCEMENT,,,,,,,error,http_429
JSWENERGY,JSWENERGY,,,,,,,error,http_429
JSWINFRA,JSWINFRA,0.1500,0.4400,-65.9091,1.4700,1.8600,-20.9677,ok,
JSWSTEEL,JSWSTEEL,3.1000,5.2600,-41.0646,26.4900,23.8700,10.9761,ok,
JUBLFOOD,JUBLFOOD,,,,,,,error,http_429
JUBLINGREA,JUBLINGREA,,,,,,,error,http_429
JUBLPHARMA,JUBLPHARMA,0.4100,0.3300,24.2424,1.2200,1.2100,0.8264,ok,
JUSTDIAL,JUSTDIAL,,,,,,,error,http_429
JWL,JWL,1.3600,2.3100,-41.1255,5.6600,8.7900,-35.6086,ok,
JYOTHYLAB,JYOTHYLAB,,,,,,,error,http_429
JYOTICNC,JYOTICNC,4.6200,3.4000,35.8824,16.6200,13.6300,21.9369,ok,
KAJARIACER,KAJARIACER,,,,,,,error,http_429
KALYANKJIL,KALYANKJIL,3.8800,2.1100,83.8863,10.7100,6.6800,60.3293,ok,
KANSAINER,KANSAINER,,,,,,,error,http_429
KARURVYSYA,KARURVYSYA,7.1400,5.1400,38.9105,23.7900,20.1000,18.3582,ok,
KAYNES,KAYNES,,,,,,,error,http_429
KEC,KEC,1.4600,2.7400,-46.7153,12.8500,12.1700,5.5875,ok,
KEI,KEI,,,,,,,error,http_429
KFINTECH,KFINTECH,5.4500,5.3000,2.8302,19.8900,18.9200,5.1268,ok,
KIMS,KIMS,,,,,,,error,http_429
KIRLOSBROS,KIRLOSBROS,8.4500,7.3300,15.2797,31.6900,33.0100,-3.9988,ok,
KIRLOSENG,KIRLOSENG,,,,,,,error,http_429
KIRLPNU,KIRLPNU,6.6400,5.5500,19.6396,30.0400,32.5200,-7.6261,ok,
KITEX,KITEX,,,,,,,error,http_429
KNRCON,KNRCON,0.6300,6.4800,-90.2778,6.1100,25.8000,-76.3178,ok,
KOTAKBANK,KOTAKBANK,3.4700,3.3200,4.5181,13.6100,16.5500,-17.7644,ok,
KPIGREEN,KPIGREEN,,,,,,,error,http_429
KPIL,KPIL,12.3700,9.2100,34.3105,49.9900,37.9400,31.7607,ok,
KPITTECH,KPITTECH,,,,,,,error,http_429
KPRMILL,KPRMILL,4.1600,4.0200,3.4826,17.2000,19.1100,-9.9948,ok,
KRBL,KRBL,,,,,,,error,http_429
KRN,KRN,2.4300,2.0400,19.1176,10.9700,8.0700,35.9356,ok,
KSB,KSB,,,,,,,error,http_429
KSCL,KSCL,,,,,,,error,http_429
KTKBANK,KTKBANK,7.6900,7.5000,2.5333,30.5500,33.6700,-9.2664,ok,
LALPATHLAB,LALPATHLAB,5.5000,6.3000,-12.6984,30.7800,29.7400,3.4970,ok,
LATENTVIEW,LATENTVIEW,,,,,,,error,http_429
LAURUSLABS,LAURUSLABS,3.2400,1.0600,205.6604,14.8400,7.0500,110.4965,ok,
LEMONTREE,LEMONTREE,,,,,,,error,http_429
LENSKART,LENSKART,0.6300,13.8500,-95.4513,2.4400,18.6800,-86.9379,ok,
LGEINDIA,LGEINDIA,,,,,,,error,http_429
LICHSGFIN,LICHSGFIN,25.1600,26.0300,-3.3423,99.3600,98.7000,0.6687,ok,
LICI,LICI,,,,,,,error,http_429
LINDEINDIA,LINDEINDIA,22.4600,13.3700,67.9880,68.4200,52.5100,30.2990,ok,
LLOYDSENGG,LLOYDSENGG,,,,,,,error,http_429
LLOYDSENT,LLOYDSENT,-0.0300,0.0000,,1.6300,0.1100,1381.8182,ok,
LLOYDSME,LLOYDSME,,,,,,,error,http_429
LODHA,LODHA,11.4700,8.3400,37.5300,28.7200,24.2400,18.4818,ok,
LOTUSDEV,LOTUSDEV,,,,,,,error,http_429
LT,LT,20.5900,17.4900,17.7244,45.3400,79.0500,-42.6439,ok,
LTF,LTF,,,,,,,error,http_429
LTFOODS,LTFOODS,1.9100,1.7900,6.7039,6.1300,6.1100,0.3273,ok,
LTM,LTM,,,,,,,error,http_429
LTTS,LTTS,27.2600,28.4100,-4.0479,114.9800,115.3100,-0.2862,ok,
LUMAXTECH,LUMAXTECH,,,,,,,error,http_429
LUPIN,LUPIN,15.7100,21.5800,-27.2011,120.3100,87.0200,38.2556,ok,
LXCHEM,LXCHEM,,,,,,,error,http_429
M&M,M&M,31.6100,23.8400,32.5923,115.3000,95.3300,20.9483,ok,
M&MFIN,M&MFIN,,,,,,,error,http_429
MAHABANK,MAHABANK,2.3100,1.8300,26.2295,8.4400,7.1800,17.5487,ok,
MAHSCOOTER,MAHSCOOTER,,,,,,,error,http_429
MAHSEAMLES,MAHSEAMLES,18.4500,14.1900,30.0211,63.6700,59.1700,7.6052,ok,
MANAPPURAM,MANAPPURAM,,,,,,,error,http_429
MANKIND,MANKIND,10.8900,9.9900,9.0090,41.2800,47.1500,-12.4496,ok,
MANORAMA,MANORAMA,,,,,,,error,http_429
MANYAVAR,MANYAVAR,5.5500,6.5000,-14.6154,14.9100,15.9900,-6.7542,ok,
MAPMYINDIA,MAPMYINDIA,,,,,,,error,http_429
MARICO,MARICO,3.4000,2.8500,19.2982,14.9500,11.9000,25.6303,ok,
MARKSANS,MARKSANS,,,,,,,error,http_429
MARUTI,MARUTI,120.6700,116.3900,3.6773,461.8200,443.8600,4.0463,ok,
MASTEK,MASTEK,,,,,,,error,http_429
MAXHEALTH,MAXHEALTH,,,,,,,error,http_429
MAZDOCK,MAZDOCK,20.7500,19.0400,8.9811,56.9800,57.6300,-1.1279,ok,
MCX,MCX,,,,,,,error,http_429
MEDANTA,MEDANTA,2.9700,4.8900,-39.2638,17.3200,17.1800,0.8149,ok,
MEDPLUS,MEDPLUS,,,,,,,error,http_429
MEESHO,MEESHO,,,,-445.9800,-40.6400,-997.3917,ok,
METROPOLIS,METROPOLIS,,,,,,,error,http_429
MFSL,MFSL,0.0500,-0.0500,200.0000,-0.2000,-0.2700,25.9259,ok,
MGL,MGL,,,,,,,error,http_429
MIDHANI,MIDHANI,1.4700,1.3500,8.8889,5.8300,5.8800,-0.8503,ok,
MINDACORP,MINDACORP,,,,,,,error,http_429
MMTC,MMTC,0.0700,-0.0000,,1.2000,0.4600,160.8696,ok,
MOIL,MOIL,,,,,,,error,http_429
MOTHERSON,MOTHERSON,0.2100,0.1200,75.0000,1.8500,1.4900,24.1611,ok,
MOTILALOFS,MOTILALOFS,,,,,,,error,http_429
MPHASIS,MPHASIS,17.8000,19.8500,-10.3275,73.5500,80.6300,-8.7809,ok,
MRF,MRF,,,,,,,error,http_429
MRPL,MRPL,8.2500,1.7400,374.1379,12.4100,0.2900,4179.3103,ok,
MSTCLTD,MSTCLTD,,,,,,,error,http_429
MSUMI,MSUMI,0.2300,0.2100,9.5238,0.9500,0.9100,4.3956,ok,
MTARTECH,MTARTECH,,,,,,,error,http_429
MUTHOOTFIN,MUTHOOTFIN,66.1700,33.9500,94.9043,213.1100,129.5400,64.5129,ok,
NAM,NAM,,,,,,,error,http_429
NATCOPHARM,NATCOPHARM,5.9700,6.9700,-14.3472,83.7500,103.3100,-18.9333,ok,
NATIONALUM,NATIONALUM,,,,,,,error,http_429
NAUKRI,NAUKRI,3.8000,3.0900,22.9773,84.5500,11.9400,608.1240,ok,
NAVA,NAVA,,,,,,,error,http_429
NAVINFLUOR,NAVINFLUOR,20.6600,13.1500,57.1103,85.0100,48.7800,74.2722,ok,
NAZARA,NAZARA,,,,,,,error,http_429
NBCC,NBCC,0.7300,0.4800,52.0833,2.3000,1.7600,30.6818,ok,
NCC,NCC,,,,,,,error,http_429
NEOGEN,NEOGEN,3.3200,5.4600,-39.1941,14.2100,18.3500,-22.5613,ok,
NESCO,NESCO,,,,,,,error,http_429
NESTLEIND,NESTLEIND,5.2800,3.6100,46.2604,17.2000,17.1900,0.0582,ok,
NETWEB,NETWEB,,,,,,,error,http_429
NETWORK18,NETWORK18,-0.7000,22.2600,-103.1447,1.7500,20.8400,-91.6027,ok,
NEULANDLAB,NEULANDLAB,,,,,,,error,http_429
NEWGEN,NEWGEN,3.9700,5.9700,-33.5008,19.9700,20.7100,-3.5732,ok,
NFL,NFL,,,,,,,error,http_429
NH,NH,3.7100,3.8800,-4.3814,22.5700,21.1000,6.9668,ok,
NHPC,NHPC,,,,,,,error,http_429
NIACL,NIACL,2.2500,2.1400,5.1402,7.1000,6.0000,18.3333,ok,
NIVABUPA,NIVABUPA,,,,,,,error,http_429
NLCINDIA,NLCINDIA,3.0900,2.9500,4.7458,13.9800,13.7000,2.0438,ok,
NMDC,NMDC,,,,,,,error,http_429
NSLNISP,NSLNISP,-0.8300,-2.5900,67.9537,-2.7500,-8.1000,66.0494,ok,
NTPC,NTPC,,,,,,,error,http_429
NTPCGREEN,NTPCGREEN,0.0700,0.1100,-36.3636,0.6100,0.5800,5.1724,ok,
NUVAMA,NUVAMA,,,,,,,error,http_429
NUVOCO,NUVOCO,2.2400,3.2300,-30.6502,7.2800,1.1300,544.2478,ok,
NYKAA,NYKAA,,,,,,,error,http_429
OBEROIRLTY,OBEROIRLTY,12.9800,14.7600,-12.0596,46.9700,48.6400,-3.4334,ok,
OFSS,OFSS,,,,,,,error,http_429
OIL,OIL,4.9700,7.5100,-33.8216,26.1700,37.5900,-30.3804,ok,
OLAELEC,OLAELEC,-0.0700,0.0700,-200.0000,-0.2500,-0.0900,-177.7778,ok,
OLECTRA,OLECTRA,,,,,,,error,http_429
ONESOURCE,ONESOURCE,-5.4300,-6.3800,14.8903,15.2000,1.6900,799.4083,ok,
ONGC,ONGC,,,,,,,error,http_429
OPTIEMUS,OPTIEMUS,0.5700,0.5800,-1.7241,2.6400,2.5500,3.5294,ok,
ORIENTCEM,ORIENTCEM,,,,,,,error,http_429
ORKLAINDIA,ORKLAINDIA,4.0300,61.7600,-93.4747,185.3700,167.7300,10.5169,ok,
OSWALPUMPS,OSWALPUMPS,,,,,,,error,http_429
PAGEIND,PAGEIND,169.9300,183.4900,-7.3900,671.6100,653.7100,2.7382,ok,
PARADEEP,PARADEEP,,,,,,,error,http_429
PARAS,PARAS,2.4200,2.0600,17.4757,9.2000,8.0700,14.0025,ok,
PARKHOSPS,PARKHOSPS,,,,,,,error,http_429
PATANJALI,PATANJALI,5.4600,3.4200,59.6491,15.1700,11.9800,26.6277,ok,
PAYTM,PAYTM,,,,,,,error,http_429
PCBL,PCBL,0.9200,2.9400,-68.7075,7.4800,11.9500,-37.4059,ok,
PCJEWELLER,PCJEWELLER,,,,,,,error,http_429
PERSISTENT,PERSISTENT,24.5900,21.0700,16.7062,96.4500,74.6900,29.1338,ok,
PETRONET,PETRONET,,,,,,,error,http_429
PFC,PFC,14.4300,12.5900,14.6148,57.0700,52.5800,8.5394,ok,
PFIZER,PFIZER,,,,,,,error,http_429
PFOCUS,PFOCUS,0.0000,-0.4100,100.0000,-0.7300,6.2000,-111.7742,ok,
PGEL,PGEL,,,,,,,error,http_429
PGIL,PGIL,3.0500,0.9100,235.1648,16.9400,11.9500,41.7573,ok,
PHOENIXLTD,PHOENIXLTD,,,,,,,error,http_429
PICCADIL,PICCADIL,4.8900,2.6600,83.8346,13.8600,11.0900,24.9775,ok,
PIDILITIND,PIDILITIND,,,,,,,error,http_429
PIIND,PIIND,18.5600,27.9300,-33.5482,106.9600,123.0200,-13.0548,ok,
PINELABS,PINELABS,,,,,,,error,http_429
PIRAMALFIN,PIRAMALFIN,17.4600,0.0300,58100.0000,29.8400,0.0200,149100.0000,ok,
PNB,PNB,,,,,,,error,http_429
PNBHOUSING,PNBHOUSING,20.0000,18.1400,10.2536,86.3100,74.9800,15.1107,ok,
PNCINFRA,PNCINFRA,,,,,,,error,http_429
PNGJL,PNGJL,12.2500,6.2800,95.0637,27.7400,15.8300,75.2369,ok,
POLICYBZR,POLICYBZR,,,,,,,error,http_429
POLYCAB,POLYCAB,41.0500,30.1100,36.3334,172.1800,133.0900,29.3711,ok,
POLYMED,POLYMED,,,,,,,error,http_429
POONAWALLA,POONAWALLA,1.8500,0.2400,670.8333,4.3600,-1.2600,446.0317,ok,
POWERGRID,POWERGRID,,,,,,,error,http_429
POWERINDIA,POWERINDIA,58.6500,32.4100,80.9627,188.7400,86.1500,119.0830,ok,
POWERMECH,POWERMECH,,,,,,,error,http_429
PPLPHARMA,PPLPHARMA,0.9700,0.9000,7.7778,5.3900,5.2200,3.2567,ok,
PRAJIND,PRAJIND,,,,,,,error,http_429
PREMIERENE,PREMIERENE,0.2800,0.8000,-65.0000,3.4100,2.4200,40.9091,ok,
PRESTIGE,PRESTIGE,,,,,,,error,http_429
PRICOLLTD,PRICOLLTD,3.6500,2.9200,25.0000,12.8900,11.6900,10.2652,ok,
PRIVISCL,PRIVISCL,,,,,,,error,http_429
PRSMJOHNSN,PRSMJOHNSN,,,,,,,error,http_429
PRUDENT,PRUDENT,13.3000,9.6700,37.5388,46.2400,37.8200,22.2634,ok,
PTC,PTC,,,,,,,error,http_429
PTCIL,PTCIL,3.7100,5.4300,-31.6759,24.6800,23.3800,5.5603,ok,
PURVA,PURVA,,,,,,,error,http_429
PVRINOX,PVRINOX,9.6700,3.5100,175.4986,2.5300,-28.2000,108.9716,ok,
PWL,PWL,,,,,,,error,http_429
QPOWER,QPOWER,1.8800,1.0300,82.5243,6.0500,3.9100,54.7315,ok,
QUESS,QUESS,,,,,,,error,http_429
RADICO,RADICO,11.5800,7.1700,61.5063,38.7000,25.8000,50.0000,ok,
RAILTEL,RAILTEL,1.9400,2.0300,-4.4335,9.9000,9.3400,5.9957,ok,
RAIN,RAIN,,,,,,,error,http_429
RAINBOW,RAINBOW,6.4800,6.6000,-1.8182,24.1400,23.4000,3.1624,ok,
RALLIS,RALLIS,,,,,,,error,http_429
RAMCOCEM,RAMCOCEM,,,,,,,error,http_429
RATEGAIN,RATEGAIN,0.0200,1.5100,-98.6755,5.5300,6.1100,-9.4926,ok,
RAYMONDLSL,RAYMONDLSL,8.1200,8.7500,-7.2000,7.9500,-1.4800,637.1622,ok,
RBA,RBA,,,,,,,error,http_429
RBLBANK,RBLBANK,,,,,,,error,http_429
RCF,RCF,1.4700,1.4400,2.0833,5.6900,4.3800,29.9087,ok,
RECLTD,RECLTD,,,,,,,error,http_429
REDINGTON,REDINGTON,2.8600,5.8900,-51.4431,14.9000,18.4700,-19.3286,ok,
REDTAPE,REDTAPE,,,,,,,error,http_429
REFEX,REFEX,4.8800,4.5800,6.5502,15.8700,14.6600,8.2538,ok,
RELAXO,RELAXO,,,,,,,error,http_429
RELIANCE,RELIANCE,6.9400,6.4400,7.7640,35.2100,26.0600,35.1113,ok,
RELIGARE,RELIGARE,,,,,,,error,http_429
RENUKA,RENUKA,-0.1100,-0.9200,88.0435,-2.3600,-1.2000,-96.6667,ok,
RHIM,RHIM,,,,,,,error,http_429
RITES,RITES,1.9900,1.9800,0.5051,8.3100,7.9100,5.0569,ok,
RKFORGE,RKFORGE,,,,,,,error,http_429
ROUTE,ROUTE,4.8200,4.6100,4.5553,18.9700,20.8000,-8.7981,ok,
RPOWER,RPOWER,,,,,,,error,http_429
RRKABEL,RRKABEL,10.2700,6.0300,70.3151,39.6700,27.3700,44.9397,ok,
RTNINDIA,RTNINDIA,,,,,,,error,http_429
RTNPOWER,RTNPOWER,0.1000,0.0100,900.0000,0.2400,0.4000,-40.0000,ok,
RUBICON,RUBICON,,,,,,,error,http_429
RVNL,RVNL,1.2700,1.4100,-9.9291,4.6100,5.7000,-19.1228,ok,
SAATVIKGL,SAATVIKGL,,,,,,,error,http_429
SAFARI,SAFARI,3.5600,5.2200,-31.8008,25.2100,24.0400,4.8669,ok,
