symbol,company_name,page
500159,Metroglobal,4
500236,Kanel Indust.,9
500267,Majestic Auto,3
500307,Nirlon,1
500370,Salora Intl.,9
501144,Peoples Invest,15
501314,Prismx Global,10
501351,Rapid Invest.,12
501370,Walchand People,9
501430,Bombay Cycle,6
501477,Muller & Phipps,12
501622,Amalgamated Elec,12
503639,Apollo Ingredie.,10
503641,Zodiac Vent.,13
503659,SW Investments,14
503675,Wagend Infra,15
503772,Modella Woollens,15
504356,Multipurpose Trd,15
504369,Grandma Trading,14
504378,Nyssa Corp.,14
504397,Ganesh Holdings,13
504810,Informed Techn.,8
505343,Monotype India,9
505523,Mah. Corporation,11
505585,Kovalam Investm.,15
506530,Kemp & Co.,5
506906,Saptak Chem &,15
508980,Frontier Capital,11
509046,Triliance Poly,10
509084,Photon Capital,8
509099,Oswal Leasing,15
509472,Cravatex,6
511018,MILGREY FIN.&INV,5
511187,Millen. Online,14
511557,Pro Fin Capital,4
511563,Sanchay Finvest,12
511585,Befound Movement,15
511601,Yash Mgmt & Sat.,12
511716,Invigorated Bus.,10
512014,Sobhagya Mercant,2
512025,Banganga Paper,2
512062,Sanmitra Commerc,3
512064,Vishvprabha Ven.,12
512097,Saianand Commer.,15
512099,Eyantra Ventures,4
512109,Aviva Industries,4
512115,Rose Merc.,8
512169,Capricorn System,9
512229,Veritas (India),3
512279,N2N Technologies,13
512301,Chambal Brewer,10
512344,Aravali Sec,14
512415,Mercury Trade Li,14
512425,Nirav Commercial,9
512441,Enbee Trade,6
512443,Ganon Products,11
512485,Dhanlaxmi Cotex,7
512565,Neelkanth,12
512589,Sita Enterprises,7
512591,Pulsar Intl.,7
512624,Regent Enterp.,11
513295,IMEC Services,9
514060,Newtrac Foods,9
514378,Yarn Syndicate,14
514400,Garware Synth,13
514460,Oswal Yarns,14
515127,Ramasigns Indus.,15
517044,Intl. Data Mgt.,13
517077,Ind-Agiv Commer.,12
517238,Dynavision,7
517360,SBEC Systems,11
519230,Kisaan Parivar,12
519483,Tai Industries,11
519532,Asian Tea & Exp,10
521003,Shiva Suitings,15
521232,Sunil Industries,9
522235,Minal Industries,8
522289,NMS Global,10
523151,OTCO Intl,13
523289,Rama Vision,5
523519,Universal Office,13
523650,Yash Innoventure,6
523782,Mitshi India,12
523844,Constronics,6
523874,East India Drums,4
523896,AVI Products,11
524055,Panther Indl. Pr,14
524414,Norris Medicines,12
524480,Riddhi Siddhi Gl,3
524488,SVC Industries,9
524504,Revati Media,15
524580,Priya,14
524590,Hemo Organic,15
524628,Parker Agrochem,14
524675,Kabsons Industri,10
524723,Bijoy Hans,8
526125,BN Agrochem,1
526241,Amrapali Inds.,6
526439,Ambitious Plasto,14
526481,Phoenix Intl.,7
526525,Worldwide Alumi.,15
526530,IIRM Holdings,2
526574,Enterprise Intl.,14
526675,Tirth Plastic,12
526865,Jainco Projects,15
526877,Siddhes. Garment,14
526935,Kalind,2
526971,Dhoot Indl.Fin,5
530025,Samyak Internati,13
530055,Harmony Capital,9
530177,VK Global,12
530213,Fortune Interntl,7
530251,Risa Internatio.,14
530289,S P Capital Fin.,9
530309,Chandra Pr. Intl,8
530445,Sumeru Industrie,12
530495,Stratmont Indus.,4
530571,Explicit Finance,12
530581,Ekam Leasing,15
530689,Lykis,6
