symbol,company_name,page
523232,Cont. Petroleums,1
526873,Rajasthan Securities,1
530053,Real Eco-Energy,1
532435,Sanmit Infra,1
543400,Omnipotent,1
543805,Resgen,1
544163,Greenhitech Ven.,1
ARABIAN,Arabian Petrol.,1
BPCL,B P C L,1
CASTROLIND,Castrol India,1
CHENNPETRO,C P C L,1
GANDHAR,Gandhar Oil Ref.,1
GULFOILLUB,Gulf Oil Lubric.,1
GULFPETRO,GP Petroleums,1
HINDPETRO,H P C L,1
IOC,I O C L,1
KOTYARK,Kotyark Indust.,1
MRPL,M R P L,1
PANAMAPET,Panama Petrochem,1
RELIANCE,Reliance Industries,1
SOCL,Sundrex Oil,1
SOTL,Savita Oil Tech,1
VEEDOL,Veedol Corporat,1
