symbol,company_name,page
500166,Goodricke Group,2
500319,Indian Sucrose,4
505336,Harshil Agrotech,6
507180,Kesar Enterprise,5
507300,The Ravalgaon,6
507498,Piccadily Sugar,5
507609,Olympic Oil Ind.,8
507663,Signature Green,8
508136,B & A,4
508494,Warren Tea,6
508670,Neelamalai Agro,3
511169,RKD Agri,7
513713,White Organic,7
515059,Madhusudan Inds.,7
519064,Khandelwal Extra,7
519174,Ashiana Agro Ind,8
519191,Retro Green,8
519216,Ajanta Soya,4
519234,Superior Indus.,6
519238,Saptarishi Agro,4
519242,Sarda Proteins,5
519262,Prima Agro,8
519279,Madhur Inds,8
519285,Tarai Foods,7
519299,Prime Industries,5
519353,Bansisons Tea,7
519359,Poona Dal & Oil,6
519463,IB Infotech,5
519471,Ambar Protein,5
519477,CIAN Agro,1
519479,Omega Ag Seeds,8
519574,Hindustan Agrig.,7
519606,Integ. Proteins,4
523672,Flex Foods,6
524408,Universal Starch,5
526081,SC Agrotech,3
526445,Indrayani Biotec,6
526473,Elegant Floricul,7
526899,Himalaya Food,5
526945,Tyroon Tea Co.,6
526983,Ashoka Refinerie,8
530077,Puretrop Fruits,4
530119,Natraj Proteins,7
530291,Paos Industries,6
530295,Sh. Rajiv. Oil,7
530533,Terai Tea Co,5
530953,Sunil Agro Foods,7
530959,Diana Tea Co,6
530997,Unique Organics,6
531065,Oswal Overseas,3
531069,Vijay Solvex,4
531153,Diligent Indust.,5
531156,Alfavision Overs,6
531205,Spright Agro,5
531246,Prima Industries,7
531832,Nag. Agri Tech.,6
531834,Natura Hue Chem,8
531923,Dhampur.Spl.Sug.,4
532102,SBEC Sugar,4
532183,Gayatri Sugars,5
532230,Bengal Tea & Fab,4
532879,Sir Shadi Lal,4
536493,JK Agri Genetics,4
537709,Shree Hanuman Sg,8
538092,Shri Vasuprada,5
538539,Annvrridhhi Ven,7
538564,James Warren Tea,5
538921,Raghuvansh Agro.,5
538926,Naturite Agro,5
539275,MANGALAM SEEDS,4
539291,Vasudhagama Ent.,8
540404,Prime Fresh,3
540728,Sayaji Industr,3
541005,Kanco Tea,6
541347,Parvati Sweetner,4
542938,Octavius Plant.,7
543310,Times Green Ener,7
543373,Shri Venkatesh,2
543531,Tierra Agrotech,3
543540,Pearl Green Club,6
543678,Ambo Agritec,5
543769,Indong Tea Co,7
543814,Prospect Consum.,6
544000,City Crops Agro,6
544105,Harshdeep Horti.,4
544175,TGIF Agribusines,7
544213,Aelea Commoditi.,3
544269,Neopolitan Pizza,7
544312,Hamps Bio,7
544368,Swasth Foodtech,7
544436,Vandan Foods,7
544535,BharatRohan Air.,3
544539,Solvex Edibles,7
544648,Unisem Agritech,5
544659,Stanbik Agro,6
544708,Yashhtej Industries,4
AGRITECH,Agri-Tech India,5
ANDREWYU,Andrew Yule & Co,2
AVADHSUGAR,Avadh Sugar,1
AVTNPL,AVT Natural Prod,2
AWL,AWL Agri Busine.,1
BAJAJHIND,Bajaj Hindusthan,1
BALRAMCHIN,Balrampur Chini,1
BANARISUG,Bannari Amm.Sug.,1
BSHSL,Bombay Super Hyb,2
CCL,CCL Products,1
CKKRETAIL,C K K Retail,3
CLSEL,Chamanlal Setia,1
DALMIASUG,Dalmia Bharat,1
DBOL,Dhampur Bio,2
DCMSRIND,DCM Shriram Inds,2
DHAMPURSUG,Dhampur Sugar,2
DHANLAXMI,Dhanlaxmi Crop,6
DOLLEX,Dollex Agrotech,4
DTIL,Dhunseri Tea,4
DWARKESH,Dwarikesh Sugar,2
GAEL,Guj. Ambuja Exp,1
GANGESSECU,Ganges Securitie,4
GILLANDERS,Gillanders Arbut,3
GOKUL,Gokul Refoils,2
GOKULAGRO,Gokul Agro,1
GRMOVER,GRM Overseas,1
GROBTEA,Grob Tea Co,4
GULPOLY,Gulshan Polyols,2
HALDER,Halder Venture,2
INDOUS,Indo US Bio-Tech,3
JAYSREETEA,Jay Shree Tea,3
KCK,KCK Industries,5
KCPSUGIND,KCP Sugar &Inds.,3
KMSUGAR,KM Sugar Mills,3
KNAGRI,KN Agri Resource,2
KOHINOOR,Kohinoor Foods,5
KOTARISUG,Kothari Sugars,3
KRBL,KRBL,1
KRITINUT,Kriti Nutrients,3
KSCL,Kaveri Seed Co.,1
LTFOODS,L T Foods,1
MAGADSUGAR,Magadh Sugar,2
MARICO,Marico,1
MAWANASUG,Mawana Sugars,2
MCLEODRUSS,Mcleod Russel,2
MGEL,Mangalam Global,2
MKPL,M K Proteins,3
MODINATUR,Modi Naturals,2
MVKAGRO,M.V.K. Agro,1
NATHBIOGEN,Nath Bio-Genes,3
NIRMAN,Nirman Agri,6
NKIND,N K Industries,6
NORBTEAEXP,Norben Tea,4
OSWALSEEDS,Shreeoswal Seeds,4
PATANJALI,Patanjali Foods,1
PKTEA,The Peria Karamalai Tea,3
PONNIERODE,Ponni Sug.Erode,3
PRUDMOULI,Pruden. Sugar,6
RAJSREESUG,Rajshree Sugars,4
RANASUG,Rana Sugars,3
RBS,Ramdevbaba Sol.,4
RCDL,Rajgor Castor,6
REGAAL,Regaal Resources,2
RENUKA,Sh.Renuka Sugar,1
ROML,Raj Oil Mills,5
ROSSELLIND,Rossell India,3
SAIFL,Sameera Agro,5
SAKHTISUG,Sakthi Sugars,3
SANSTAR,Sanstar,1
SARVESHWAR,Sarveshwar Foods,2
SAWALIYA,Sawaliya Food,2
SHANTI,Shanti Overseas,8
SHEETAL,Sheetal Univer.,3
SHETHJI,Shreeji Global,2
SIMBHALS,Simbhaoli Sugar,6
SRPL,Shree Ram Prote.,7
SUKHJITS,Sukhjit Starch,2
SUNDROP,Sundrop Brands,1
TATACONSUM,Tata Consumer,1
TBI,TBI Corn,4
TRIVENI,Triven.Engg.Ind.,1
TRUALT,TruAlt Bioenergy,1
UGARSUGAR,Ugar Sugar Works,2
UNITEDTEA,United Nilgiri,3
USASEEDS,Upsurge Seeds,5
UTTAMSUGAR,Uttam Sug.Mills,1
VIKASPROP,Vikas Proppant,7
VIKASWSP,Vikas Wsp,7
VISHWARAJ,Vishwaraj Sugar,5
VISHWAS,Vishwas Agri,6
ZUARIIND,Zuari Industries,2
