symbol,company_name,page
500365,Welspun Special.,4
500399,Steelco Gujarat,14
500421,TPI India,13
501391,W H Brady,11
502294,Nilachal Refract,12
504605,Uni Abex Alloy,6
504648,Bombay Wire,17
504731,Azad India,7
504746,Indian Link Ch.,7
504786,Inv.& Prec.Cast.,6
504840,Kaira Can,12
504903,Rathi Steel,11
504988,Welcast Steels,15
505685,Taparia Tools,16
505807,Rolcon Engg. Co.,14
506863,Swadeshi Inds,9
506979,Apt Packaging,9
508875,Nitin Castings,8
508922,MSR India,15
508941,Panasonic Carbon,9
509486,Caprihans India,12
512453,Sh. Jagdamba Pol,7
513043,Remi Edelstahl,10
513063,Trans Freight,18
513149,Acrow India,15
513303,Modern Steels,18
513307,Synthiko Foils,3
513337,Guj. Toolroom,14
513361,India Homes,6
513369,Krishanveer Forg,11
513397,Vallabh Steels,19
513401,Ashiana Ispat,17
513403,P.M. Telelinnks,18
513418,Smiths & Founder,15
513422,Bloom Industries,17
513452,Elango Industrie,20
513456,Kanishk Steel,11
513460,Mahalaxmi Seam.,20
513472,Simplex Castings,7
513488,Sh. Steel Wire,20
513502,Baroda Extrusion,10
513507,Guj. Containers,12
513511,Panchmahal Steel,6
513513,Aditya Ispat,20
513540,T N Steel Tubes,19
513548,Sharda Ispat,14
513566,Nova Iron &Steel,15
513629,Tulsyan NEC,15
513642,Axel Polymers,14
513709,Shilp Gravures,13
513721,MFS Intercorp,19
514428,Hind.Adhesive,10
514442,Sri KPR Inds.,16
515147,Haldyn Glass,7
516078,Jumbo Bag,15
517336,Modern Malleable,8
517372,Gujarat Intrux,10
517431,Narmada Macplast,14
517437,Dutron Polymers,14
517449,Magna Electrocas,7
518075,Suraj Products,9
520081,Eastcoast Steel,19
520121,Arcee Industries,19
522273,Ahm. Steelcraft,9
522292,Candour Techtex,8
523021,Rishi Techtex,17
523105,Cropster Agro,7
523160,Morganite Crucib,6
523186,B & A Packaging,13
523594,Kunststoff Inds.,18
523652,Kkalpana Plastic,18
523712,JMG Corporation,18
523832,Mukat Pipes,18
523840,Innovative Tech,16
524502,Raaj Medisafe,12
526001,Jauss Polymers,18
526073,Galaxy Bearings,11
526137,Shetron,13
526143,MPL Plastics,19
526225,Bloom Dekor,19
526355,Duropack,17
526492,Rishiroop,13
526494,Promact Plastics,19
526554,Salguti Industri,17
526614,Expo Engineering,10
526616,Natl. Plastic,16
526638,Texel Industries,12
526703,Ecoplast,10
526717,HCP Plastene,10
526731,Bright Brothers,12
526799,Union Qual. Pla.,18
526847,Ashirwad Steels,17
526965,Guj. Craft Inds,15
526967,Heera Ispat,20
526977,Crimson Metal,17
526981,Sh. Bajrang All.,11
530063,Yashraj Contain.,19
530095,Pradhin,17
530111,Raj Packaging,18
530133,Amco India,17
530145,Kisan Mouldings,8
530253,Rajas. Tube Mfg,14
530281,Quantum Digital,20
530315,Hind.Tin Works,12
530429,Ashish Polyplast,19
530449,Rungta Irrigatn.,12
530609,Carnation Inds.,16
530611,Sturdy Industrie,20
530615,Garg Furnace,13
530765,Agarwal Fortune,19
530921,Integ. Thermopl.,20
530931,Stanpacks(India),20
530973,Alfa Ica (I),16
531280,Pankaj Polymers,16
531287,National Plastic,11
531289,National Fitting,11
531397,Polycon Intl.,18
531539,Rish.Digh.Steel,17
531651,Natl. Gen. Inds.,17
531671,Karnawati Innovation,19
531681,Amerise BioScie,20
531779,Padmanabh Alloys,19
531810,Metal Coatings,16
531859,Oriental Rail,6
531913,Gopal Iron Stl.,19
531929,Innocorp,20
531989,Deccan Polypacks,19
532001,Inducto Steel,17
532918,Rathi Bars,16
533110,Shree Precoated,20
533608,RDB Rasayans,8
534064,Alliance Integ.,14
534639,Vinayak Polycon,20
534733,Aerpace Indus,7
534796,CDG Petchem,12
536974,Captain Polyplas,8
537573,Polymac Thermof.,19
538546,Bansal Roofing,10
538610,Unison Metals,17
538706,Ultracab India,13
538715,Dhabriya Poly.,8
538812,Aanchal Ispat,19
538817,Captain Pipes,12
539018,Beekay Steel Ind,6
539200,Noble Polymers,20
539219,Mauria Udyog,12
539354,Polyspin Exports,16
539455,Aryavan Enterprise,16
539527,Creative Casting,13
539798,Umiya Tubes,15
539982,Advance Syntex,19
540078,Mitsu Chem Plast,12
540079,Sprayking Ltd,17
540080,Dhatre Udyog,16
540082,Riddhi Steel,8
540693,Shish Industries,6
540727,Poojawes. Metal.,17
541701,Supershakti Met.,8
542503,Mahip Industries,15
542666,G K P Printing,19
542669,BMW Industries,6
542865,Anuroop Packagin,19
543229,Samrat Forgings,13
543239,G M Polyplast,13
543285,Rajeshwari Cans,17
543377,AFLOAT Enterpris,18
543435,Clara Industries,13
543765,Earthstahl &All.,17
543782,Sealmatic India,7
543874,Maiden Forgings,12
543928,Cosmic CRF,6
543937,Alphalogic Indu,9
543939,Kaka Industries,9
543979,Kahan Packaging,19
543982,Quest Flow,11
544035,Swashthik Plas.,16
544037,Amic Forging,4
544047,Siyaram Recycli.,13
544072,Aik Pipes & Poly,18
544083,Shree Marutinand,18
544108,Gabriel Pet,11
544171,Storage Tech,15
544183,Associated Coat.,18
544267,Subam Papers,7
544330,Parmeshwar Metal,10
544334,Indobell Insul.,15
544351,Malpani Pipes,14
544366,L.K.Mehta Poly.,17
544381,Super Iron,14
544412,3B Films,15
544434,Neetu Yoshi,8
544444,GLEN Industries,10
544452,Swastika Castal,14
544468,B. D. Industries,10
544500,Abril Paper,16
544506,Sharvaya Metals,12
544509,Krupalu Metals,18
544520,Sampat Aluminium,16
544524,JD Cables,7
544541,Systematic Inds.,8
544553,M P K Steels,11
544554,KVS Castings,12
544555,Ameenji Rubber,11
544559,Om Metallogic,19
544575,Mittal Sections,16
544677,Defrail Technologies,14
544680,Narmadesh Brass,15
544686,Shayona Eng.,14
544688,Kasturi Metal,14
ABHAPOWER,Abha Power,15
ADOR,Ador Welding,4
ADVAIT,Advait Energy,4
AEROENTER,Aeroflex Enter.,5
AEROFLEX,Aeroflex,3
AERON,Aeron Composites,11
AERONEU,Aeroflex Neu,9
AGARWALFT,Agarwal Float,18
AGARWALTUF,Agarwal Toughene,10
AGI,AGI Greenpac,3
AGUL,A G Universal,15
AHIMSA,Ahimsa Industrie,18
AIAENG,AIA Engineering,1
ALUWIND,Aluwind Infra,11
AMCL,ANB Metal,6
AMDIND,AMD Industries,13
AMEYA,Ameya Precision,13
ANTGRAPHIC,Antarctica,19
APCOTEXIND,Apcotex Industri,4
APLAPOLLO,APL Apollo Tubes,1
APOLLOPIPE,Apollo Pipes,4
ARCIIL,ARC Insulation,15
ARROWGREEN,Arrow Greentech,6
ASTRAL,Astral,1
AUROIMPEX,Auro Impex,16
AUSL,Aditya Ultra,15
BAHETI,Baheti Recycling,6
BALAJEE,Shree TirupatiBa,9
BALCO,Solve Plastic,20
BALUFORGE,Balu Forge,2
BANSALWIRE,Bansal Wire Inds,3
BARFLEX,Barflex Polyfilm,10
BBTCL,B&B Triplewall,8
BCP,B.C. Power,19
BEARDSELL,Beardsell,13
BEDMUTHA,Bedmutha Indus.,8
BHADORA,Bhadora Indust.,12
BHARATWIRE,Bharat Wire,5
BORORENEW,Borosil Renew.,2
BOROSCI,Borosil Scienti.,5
BULKCORP,Bulkcorp Inter.,16
CARBORUNIV,Carborundum Uni.,1
CENTEXT,Century Extrus.,11
CGRAPHICS,Creative Graphic,8
CLASSICEIL,Classic Electrod,13
CMICABLES,CMI,20
COMSYN,Commerl. Synbags,6
COOLCAPS,Cool Caps,8
CORDSCABLE,Cords Cable,10
COSMOFIRST,Cosmo First,4
CUBEXTUB,Cubex Tubings,12
CUMMINSIND,Cummins India,1
DCG,DCG Cables,12
DEEM,Deem Roll-Tech,17
DELTAMAGNT,Delta Manufact.,14
DENEERS,De Neers Tools,11
DENORA,DE Nora India,7
DIFFNKG,Diffusion Eng,5
DKEGL,D.K. Enterprises,15
DPEL,Divine Power,5
DPWIRES,D P Wires,9
DYCL,Dynamic Cables,4
ECOLINE,Ecoline Exim,8
ELECTCAST,Electrost.Cast.,3
ELECTHERM,Electrotherm(I),6
ELGIEQUIP,Elgi Equipments,1
ELGIRUBCO,Elgi Rubber Co,10
EMMBI,Emmbi Industries,11
ENVIRO,Envirotech Sys.,9
EPL,EPL Ltd,2
ESABINDIA,Esab India,2
ESTER,Ester Industries,6
EUROBOND,Euro Panel,8
EXCELLENT,Excellent Wires,15
FINCABLES,Finolex Cables,1
FINPIPE,Finolex Inds.,2
GALLANTT,Gallantt Ispat L,1
GANDHITUBE,Gandhi Spl. Tube,5
GANGAFORGE,Ganga Forging,16
GEEKAYWIRE,Geekay Wires,9
GFSTEELS,Grand Foundry,15
GOODLUCK,Goodluck India,3
GPIL,Godawari Power,1
GRAPHITE,Graphite India,1
GRCL,Gayatri Rubbers,9
GREAVESCOT,Greaves Cotton,3
GRINDWELL,Grindwell Norton,1
GRPLTD,GRP,5
GRWRHITECH,Garware Hi Tech,2
GSMFOILS,GSM Foils,8
GUJRAFFIA,Guj. Raffia Inds,17
HAPPYFORGE,Happy Forgings,2
HARIOMPIPE,Hariom Pipe,5
HARRMALAYA,Harri. Malayalam,8
HARSHA,Harsha Engg Intl,3
HBLENGINE,HBL Engineering,1
HEG,HEG,2
HILTON,Hilton Met.Forg.,11
HISARMETAL,Hisar Met.Inds.,13
