symbol,company_name,page
500009,Ambalal Sarabhai,5
500422,Transchem,5
506128,Parnax Lab,6
506365,Starsource Multitrade,9
506414,Fermenta Biotec.,4
506919,Makers Labs.,7
511509,Vivo Bio Tech,8
511523,Veerhealth Care,8
512600,Astal Lab,5
514336,Genesis IBRC,6
523144,Medi Caps,8
523620,Phaarmasia,8
524202,Lactose (India),6
524238,Guj. Inject(Ker),6
524314,Guj. Terce Labs.,8
524322,Kabra Drugs,7
524400,Ishita Drugs,9
524506,Coral Labs.,6
524516,Bacil Pharma,7
524572,Pharmaids Pharma,7
524604,Adline Chem Lab,9
524606,Beryl Drugs,9
524632,Shukra Pharma.,4
524636,Oxygenta Pharma,6
524661,Welcure Drugs,8
524663,Bharat Immunolog,7
524703,Sandu Pharma.,8
524711,Vista Pharma.,8
524727,Span Divergent,9
524731,Jenburkt Pharma,5
524752,Decipher Labs,9
524790,Everest Organics,5
524828,BDH Industries,5
526075,Rekvina Labs,8
530057,Vivanza Biosci.,9
530125,Samrat Pharma,7
530163,Kerala Ayurveda,5
530207,Brawn Biotech,9
530233,Auro Labs.,6
530313,Kimia Bioscien.,6
530317,Godavari Drugs,7
530665,Zenith Health,9
530991,Roopa Industries,8
531015,Venmax Drugs,8
531099,Checkpoint Trend,8
531173,Syschem (India),5
531207,Cresanto Global,9
531210,Colinz Labs,9
531219,Shyama Computro.,9
531398,Source Natural,7
531521,Desh Rakshak,9
531569,Sanjiv.Parant.,6
531686,MPS Pharmaa,9
531726,Panch.Organics,6
531739,Gennex Lab.,6
531762,Unjha Formul.,9
532039,Zenotech Lab.,5
532384,Tyche Industries,6
537253,Sunil Healthcare,7
537536,Denis Chem Lab,7
538634,Vasundhara Rasy.,8
538964,Mercury Labs,7
538965,Concord Drugs,7
539206,Genomic Valley,9
539470,Shree Ganesh Bio,9
539730,Fredun Pharma,4
539997,Kwality Pharma,4
540359,Parmax Pharma,9
540686,Smruthi Organic,6
540694,ANG Lifesciences,8
540737,Shree Ganesh Rem,4
541096,Bharat Parenter.,4
541601,Rajnish Wellness,8
542724,Murae Organisor,8
542934,Chandra Bhagat,8
543444,Fabino Enter,9
543499,Achyut Healthcar,6
543594,Dipna Pharmachem,9
543616,Trident Lifeline,5
543963,Shelter Pharma,8
544353,Amwill Health,7
544409,Astonea Labs,6
544445,Asston Pharmaceu,7
544529,Aptus Pharma,5
544694,Accretion Nutraveda,6
