symbol,company_name,page
500371,Samtel (India),10
500414,Timex Group,3
502865,Forbes & Co,5
504398,SJ Corp,5
505840,Jaipan Industrie,10
508486,Hawkins Cookers,2
512047,Royal India Corp,8
512091,Nibe Ordnance,12
512587,Zodiac-JRD MKJ,9
512595,Manbro Indust.,4
512604,Haria Exports,11
514412,Sarup Industries,8
515085,Restile Ceramics,8
516003,Duroply Indust.,6
517236,Calcom Vision,7
517399,VXL Instruments,12
521167,Maxgrow India,6
521210,Cityman,10
523242,NB Footwear,11
523373,Mini Diamonds(I),6
523387,Triton Corp.,10
523425,Sunraj Diamond,11
523449,Sharp India,7
523483,Pacific Inds,8
523558,Swiss Military,5
523676,Golkunda Diamond,6
523732,Ecoboard Inds.,6
523790,Shukra Jewellery,11
523826,Sover. Diamonds,11
523842,Super Tannery,8
526115,Manor Estates,11
526193,Royal Cush. Vin.,8
526365,SwarnsaritaJewel,8
526415,OK Play India,7
526431,Welterman Intl.,11
526468,Euro Leder Fash,11
526586,Wim Plast,5
526705,Elegant Marbles,9
526827,Spice IslandsInd,7
530173,Oscar Global,11
530525,Rajnish Retail,9
530545,COSCO (India),8
530589,Prima Plastics,7
530675,York Exports,10
531111,Gothi Plascon,9
531119,Ceenik Exports,7
531164,Turner Industrie,12
531286,Adhata Global,11
531608,Gorani Industrie,10
531613,Meyer Apparel,10
531626,Orosil Smiths,10
531673,Anka India,7
531680,Mayur Leather,11
531847,Asian Star Co.,4
531928,Golden Carpets,11
532829,Lehar Footwears,5
534190,Olympic Cards,12
539220,Mishka Exim,8
539405,Decorous Investm,11
539518,Uday Jewellery,5
539559,Deep Diamond,9
539884,Darshan Orna,10
540148,Bindal Exports L,11
540252,Viram Suvarn,7
540269,Super Fine Knit.,11
540545,Guru Krupa Gems,8
540904,Tirupati Foam,9
540936,Gautam Gems,11
540953,Kenvi Jewels,10
541083,Inflame Applian.,6
541337,Milestone Furn.,10
541338,U. H. Zaveri,9
541771,Amin Tannery,11
542034,S.M. Gold,10
542579,Ashapuri Gold,7
542728,S K Internation.,10
542850,Goblin India,11
543171,R O Jewels,11
543378,CWD,4
543464,Maruti Interior,5
543518,Eighty Jewellers,9
543519,Shashwat Furnis.,10
543545,Veerkrupa Jewel,11
543597,Virtuoso Optoel.,4
543656,Technopack Poly.,10
543709,PNGS Gargi FJ,4
543848,Dev Labtech,7
543902,Retina Paints,8
543921,Comrade Applian.,10
543953,Khazanchi Jewell,3
543970,Shoora Designs,10
544073,Manoj Ceramic,8
544139,Koura Fine Diamo,10
544168,Varyaa Creations,11
544170,Dolphin Kitchen Utensils,9
544188,Magenta Life,11
544391,Retaggio Indust.,8
544398,Kenrik Indust.,11
544400,Manoj Jewellers,9
544425,AJC Jewel,8
544437,Marc Loire,10
544635,Luxury Time,8
544640,Riddhi Display,10
544641,K. V. Toys India,7
544662,Simandhar Impex,9
544668,Nanta Tech,6
544670,Bai-Kakaji Poly.,5
544683,Aritas Vinyl,9
ADL,Archidply Decor,9
AHLADA,Ahlada Engineers,9
AIROLAM,Airo Lam,7
AKI,AKI India,9
AKZOINDIA,Akzo Nobel,1
ALLTIME,All Time Plastic,3
AMBER,Amber Enterp.,1
ARCHIDPLY,Archidply Inds.,7
ARCHIES,Archies,9
ARHAM,Arham Tech,6
AROGRANITE,Aro Granite Inds,9
ASIANPAINT,Asian Paints,1
ASIANTILES,Asian Granito,3
ASPIRE,Aspire & Innovat,10
ATLASCYCLE,Atlas Cycles,8
AUSOMENT,Ausom Enter.,7
AVROIND,Avro India,6
BAJAJELEC,Bajaj Electrical,2
BANARBEADS,Banaras Beads,8
BATAINDIA,Bata India,1
BERGEPAINT,Berger Paints,1
BIL,Bhartiya Intl.,4
BIRLANU,BirlaNu Ltd,4
BLUESTARCO,Blue Star,1
BLUESTONE,Bluestone Jewel,1
BOROLTD,Borosil,3
BOSCH-HCIL,Bosch Home Comfort,3
BPL,BPL,6
BRANDMAN,Brandman Retail,6
BUTTERFLY,Butterfly Gan Ap,4
CAMPUS,Campus Activewe.,2
