symbol,company_name,page
503685,Mediaone Global,3
509073,Hathway Bhawani,3
511092,JMD Ventures,3
511246,Bombay Talkies,3
511664,BGIL Films & Tec,3
512267,Media Matrix,1
512499,Shalimar Prod.,2
521062,Perfect-Octave,3
523277,G V Films,2
531486,Filmcity Media,3
531512,Orient Tradelink,2
531668,Vision Corpn.,4
531910,Madhuveer Com,1
532011,Vashu Bhagnani,1
532072,Interworld Digi.,3
532355,Picturehouse,3
532378,Universal Arts,4
532380,Baba Arts,2
533268,Sea TV Network,4
538684,Encash Entert.,3
539115,Alan Scott Ente.,2
539175,Bluegod Enterta.,2
539469,Panorama Studios,1
540023,Colorchips New,3
540151,Diksat Transworl,2
540159,Purple Agrotech Industries,4
540821,Crystal Business,3
540874,7Seas Enter.,2
542654,V R Films & Stud,3
AQYLON,Aqylon Nexus,1
BAGDIGITAL,B.A.G. Converge.,2
BAGFILMS,BAG Films,2
BALAJITELE,Balaji Telefilms,1
BASILIC,Basilic Fly Stud,1
BAWEJA,Baweja Studios L,2
BTML,Bodhi Tree,2
CINELINE,Cineline India,2
CINEVISTA,Cinevista,2
CONNPLEX,Connplex Cinemas,1
CREATIVEYE,Creative Eye,3
DEN,Den Networks,1
DIGIKORE,Digikore Studios,2
DISHTV,Dish TV India,1
ENIL,Ent.Network,1
GRETEX,Gretex Industrie,1
GTPL,GTPL Hathway,1
HATHWAY,Hathway Cable,1
IDENTICAL,Identical Brains,3
INSPIRE,Inspire Films,3
MAXPOSURE,Maxposure,2
MUKTAARTS,Mukta Arts,2
NAZARA,Nazara Technolo.,1
NDTV,NDTV,1
NETWORK18,Netwrk.18 Media,1
NEXTMEDIA,Next Mediaworks,3
ORTEL,Ortel Commu.,4
PADMALAYAT,Padmalaya Tele.,3
PFOCUS,Prime Focus,1
PHANTOMFX,Phantom Digital,2
PNC,Prit Nandy Comm.,3
PPSL,Picturepost Stu.,3
PVRINOX,PVR Inox,1
RADAAN,Radaan Media.,3
RADIOCITY,Music Broadcast,2
RADIOWALLA,Radiowalla,3
RAJTV,Raj Television,2
SAREGAMA,Saregama India,1
SHEMAROO,Shemaroo Entert.,2
SILLYMONKS,Silly Monks,3
SITINET,Siti Networks,3
STUDIOLSD,Studio LSD,2
SUNTV,Sun TV Network,1
TIPSFILMS,Tips Films,2
TIPSMUSIC,Tips Music,1
TVTODAY,T.V. Today Netw.,1
TVVISION,TV Vision,3
UFO,UFO Moviez,2
VELS,Vels Film,2
ZEEL,Zee Entertainmen,1
ZEEMEDIA,Zee Media,1
