symbol,company_name,page
AUBANK,AU Small Finance,1
AXISBANK,Axis Bank,1
BANDHANBNK,Bandhan Bank,1
BANKBARODA,Bank of Baroda,1
BANKINDIA,Bank of India,1
CANBK,Canara Bank,1
CAPITALSFB,Capital Small,2
CENTRALBK,Central Bank,1
CSBBANK,CSB Bank,2
CUB,City Union Bank,1
DCBBANK,DCB Bank,2
DHANBANK,Dhanlaxmi Bank,2
EQUITASBNK,Equitas Sma. Fin,2
ESAFSFB,ESAF Small Fin,2
FEDERALBNK,Federal Bank,1
FINOPB,Fino Payments,2
HDFCBANK,HDFC Bank,1
ICICIBANK,ICICI Bank,1
IDBI,IDBI Bank,1
IDFCFIRSTB,IDFC First Bank,1
INDIANB,Indian Bank,1
INDUSINDBK,IndusInd Bank,1
IOB,I O B,1
J&KBANK,J & K Bank,2
JSFB,Jana Small Finan,2
KARURVYSYA,Karur Vysya Bank,1
KOTAKBANK,Kotak Mah. Bank,1
KTKBANK,Karnataka Bank,2
MAHABANK,Bank of Maha,1
PNB,Punjab Natl.Bank,1
PSB,Pun. & Sind Bank,2
RBLBANK,RBL Bank,1
SBIN,SBI,1
SOUTHBANK,South Ind.Bank,2
SURYODAY,Suryoday Small,2
TMB,T N Merc. Bank,2
UCOBANK,UCO Bank,1
UJJIVANSFB,Ujjivan Small,2
UNIONBANK,Union Bank (I),1
UTKARSHBNK,Utkarsh Small F.,2
YESBANK,Yes Bank,1
