symbol,company_name,page
500178,Harig Crankshaft,7
500240,Kinetic Engg.,4
504646,Bhagwati Auto,6
504908,Duncan Engg.,6
505036,Auto.Corp.of Goa,3
505100,India Radiators,7
505163,Z F Steering,4
505212,Jainex Aamcol,7
505232,Veljan Denison,4
505681,Bimetal Bearings,5
505712,Him Teknoforg.,5
505827,SNL Bearings,6
505893,Hindustan Hardy,6
505978,Triton Valves,4
506122,Kairosoft AI,7
507998,Simm. Marshall,5
508571,Cochin Malabar,7
508807,IST,4
509162,Indag Rubber,5
509196,M M Rubber,7
513059,G S Auto Intl.,7
513117,Amforge Inds.,7
513252,Jay Ushin,5
513532,Pradeep Metals,4
513687,Spectra Industri,7
515043,Saint-Gob. Sekur,4
517230,PAE,7
517286,RNIT AI Solution,4
520075,Samkrg Pistons,6
520141,Sibar Auto Parts,7
522195,Frontier Springs,3
522207,Rasandik Engg.,7
523248,Machino Plastics,5
523638,IP Rings,6
523888,V R Woodart,4
530369,Vamshi Rubber,7
530621,Akar Auto Indust,6
530711,Jagan Lamps,7
531144,EL Forge,7
531346,Eastern Treads,7
531399,G G Automotive,5
531727,Menon Pistons,5
531994,Auto Pins (I),6
532933,Porwal Auto Comp,6
533007,LGB Forge,6
533477,Enkei Wheels,4
538987,Talbros Engg.,4
538992,Sar Auto Prod.,3
539040,Tirupati Innovar,7
539314,Universal Auto.,6
539353,SAL Automotive,6
539398,Vishal Bearings,7
542013,Dolfin Rubbers,5
542459,Kranti Industrie,6
544082,New Swan,6
544166,Emmforce Auto.,5
544347,CLN Energy,4
544616,Gallard Steel,6
ALICON,Alicon Cast.,3
APOLLOTYRE,Apollo Tyres,1
ARE&M,Amara Raja Ener.,1
ASAHIINDIA,Asahi India Glas,1
ASAL,Automotive Stamp,4
ASKAUTOLTD,ASK Automotive,2
ASLIND,ASL Industries,6
AUTOAXLES,Automotive Axles,3
AUTOIND,Autoline Industr,5
BALKRISIND,Balkrishna Inds,1
BANCOINDIA,Banco Products,2
BELRISE,Belrise Industri,1
BHARATFORG,Bharat Forge,1
BHARATGEAR,Bharat Gears,6
BHARATSE,Bharat Seats,3
BOSCHLTD,Bosch,1
CARRARO,Carraro India,2
CEATLTD,CEAT,1
CIEINDIA,CIE Automotive,1
CRAFTSMAN,Craftsman Auto,1
DIVGIITTS,Divgi Torq,3
ENDURANCE,Endurance Tech.,1
ETML,Emerald Tyre,5
EXIDEIND,Exide Inds.,1
FIEMIND,Fiem Industries,2
FMGOETZE,Federal-Mogul Go,3
FORGEAUTO,Forge Auto,6
GABRIEL,Gabriel India,2
GNA,GNA Axles,3
GOLDSTAR,Goldstar Power,5
GOODYEAR,Goodyear India,3
HINDCOMPOS,Hind.Composites,4
HITECHGEAR,The Hi-Tech Gear,3
IGARASHI,Igarashi Motors,4
IMPAL,India Motor Part,3
INDNIPPON,India Nipp.Elec.,3
ITTL,Innovative Tyres,6
JAMNAAUTO,Jamna Auto Inds.,2
JAYBARMARU,Jay Bharat Maru.,4
JBMA,JBM Auto,1
JKTYRE,JK Tyre & Indust,2
JMA,Jullundur Motor,5
JTEKTINDIA,JTEKT India,2
KROSS,Kross Ltd,3
LAKPRE,Lak. Prec. Screw,7
LGBBROSLTD,L G Balakrishnan,2
LUMAXIND,Lumax Industries,2
LUMAXTECH,Lumax Auto Tech.,2
MANDEEP,Mandeep Auto,7
MAXVOLT,Maxvolt Energy,4
MENONBE,Menon Bearings,4
MINDACORP,Minda Corp,2
MMFL,M M Forgings,3
MODIRUBBER,Modi Rubber,5
MOTHERSON,Samvardh. Mothe.,1
MRF,MRF,1
MSUMI,Motherson Wiring,1
MUNJALAU,Munjal Auto Inds,4
MUNJALSHOW,Munjal Showa,4
NDRAUTO,NDR Auto Compon.,3
NRBBEARING,NRB Bearings,3
OBSCP,OBSC Perfection,4
OMAXAUTO,Omax Autos,5
PAVNAIND,Pavna Industries,5
PPAP,PPAP Automotive,5
PRECAM,Precision Camshf,3
PRECISION,Precision Metal.,7
PREMIUM,Premium Plast,6
PRICOLLTD,Pricol Ltd,2
PRITIKA,Pritika Engineer,5
PRITIKAUTO,Pritika Auto,5
RACLGEAR,RACL Geartech,3
RAJRATAN,Rajratan Global,3
REMSONSIND,Remsons Ind,4
RICOAUTO,Rico Auto Inds,3
RKFORGE,Ramkrishna Forg.,2
RML,Rane (Madras),3
ROLEXRINGS,Rolex Rings,2
SANDHAR,Sandhar Tech,2
SANSERA,Sansera Enginee.,1
SCHAEFFLER,Schaeffler India,1
SEDEMAC,Sedemac Mechatro,2
SELLOWRAP,Sellowrap Indus.,6
SETCO,Setco Automotive,4
SHARDAMOTR,Sharda Motor,2
SHIGAN,Shigan Quantum,6
SHIVAMAUTO,Shivam Autotech,5
SHRIPISTON,Shriram Pistons,1
SINTERCOM,Sintercom India,5
SJS,SJS Enterprises,2
SONACOMS,Sona BLW Precis.,1
SSWL,Steel Str. Wheel,2
STERTOOLS,Sterling Tools,4
STUDDS,Studds Accessor.,3
SUNCLAY,Sundaram Clayton,2
SUNDRMBRAK,Sundaram Brake,5
SUNDRMFAST,Sundram Fasten.,1
SUPRAJIT,Suprajit Engg.,2
TALBROAUTO,Talbros Auto.,3
TCL,Thaai,5
TENNIND,Tenneco Clean,1
TIINDIA,Tube Investments,1
TOLINS,Tolins Tyres,4
TVSSRICHAK,TVS Srichakra,2
UCAL,Ucal,5
UNIPARTS,Uniparts India,3
UNOMINDA,Uno Minda,1
URAVIDEF,Uravi Defence &,6
UWCSL,Ultra Wiring,6
VARROC,Varroc Engineer,2
VIAZ,Viaz Tyres,6
WHEELS,Wheels India,2
ZFCVINDIA,ZF Commercial,1
