symbol,company_name,page
530643,Eco Recyc.,1
539098,Filtra Consult.,1
543595,EP Biocomposites,1
543997,Organic Recyclin,1
544199,Gem Enviro,1
544219,VVIP Infratech,1
544291,Rajesh Power,1
APEXECO,Apex Ecotech,1
AWHCL,Antony Waste han,1
CEWATER,Concord Enviro,1
DENTA,Denta Water,1
EFFWA,Effwa Infra,1
EIEL,Enviro Infra,1
EMSLIMITED,EMS,1
FELIX,Felix Industries,1
GREENLEAF,Greenleaf Envi.,1
HIGREEN,Hi-Green Carbon,1
IONEXCHANG,ION Exchange,1
JITFINFRA,JITF Infra Logis,1
NAMOEWASTE,Namo eWaste,1
RACE,Race Eco,1
SATTVAENGG,Sattva Eng.,1
URBAN,Urban Enviro,1
WABAG,Va Tech Wabag,1
ZTECH,Z-Tech (India),1
