symbol,company_name,page
507833,Computer Point,2
512175,Vama Industries,1
517246,B C C Fuba India,1
517264,Fine Line Cir.,1
517356,ACI Infocom,1
517393,Reganto Enterprises,1
521238,Bharat Global,1
536672,VCU Data Managem,2
544101,Brisk Technovisi,1
544177,Aztec Fluids,1
CEREBRAINT,Cerebra Integr.,1
COMPINFO,Compuage Info.,2
CONTROLPR,Control Print,1
DCI,DC Infotech,1
DLINKINDIA,D-Link India,1
EBGNG,GNG Electronics,1
EPWINDIA,EPW India,1
ESCONET,Esconet,1
HCL-INSYS,HCL Infosystems,1
MARUSHIKA,Marushika Tech.,1
MOSCHIP,Moschip Tech.,1
NELCO,NELCO,1
NEWJAISA,Newjaisa Tech,1
RICHA,Richa Info,1
RPTECH,Rashi Peripheral,1
SLONE,Slone Infosys.,1
SMARTLINK,Smartlink Hold.,1
TVSELECT,TVS Elec.,1
