symbol,company_name,page
500014,Utique Enterp.,1
506003,Sudal Industries,1
512024,N D Metal Inds.,1
512068,Dec.Gold Mines,1
513119,Onix Solar,1
513309,Golkonda Alumin.,2
513430,Maitri Enterp.,1
513496,Sizemasters Tech,1
513544,Mardia Samyoung,1
526747,PG Foils,1
531869,Sacheta Metals,1
531979,Hind Aluminium,1
539121,Palco Metals Ltd,1
543522,Nanavati Venture,1
543804,Amanaya Ventures,2
544693,Kanishk Alumin.,1
544695,Msafe Equipments,1
ARFIN,Arfin India,1
BHAGYANGR,Bhagyanagar Ind,1
HINDALCO,Hindalco Inds.,1
HINDCOPPER,Hindustan Copper,1
HINDZINC,Hindustan Zinc,1
JAINIK,Jainik Power,1
MAANALU,Maan Aluminium,1
MANAKALUCO,Manaksia Alumi.,1
MMP,MMP Industries,1
NATIONALUM,Natl. Aluminium,1
