symbol,company_name,page
500058,Bihar Sponge,2
511672,Scan Steels,1
513005,Chrome Silicon,2
513693,KIC Metaliks,2
522165,Indsil Hydro,2
532362,Nagpur Power,1
532656,Facor Alloys,2
544510,Nilachal Carbo,1
ANKITMETAL,Ankit Met.Power,2
CMNL,Chaman Metallics,1
IMFA,Indian Metals,1
IMPEXFERRO,Impex Ferro Tech,2
JAIBALAJI,Jai Balaji Inds.,1
JAINAM,Jainam Ferro,1
JINDALSTEL,Jindal Steel,1
JSL,Jindal Stain.,1
JSWSTEEL,JSW Steel,1
KIOCL,KIOCL,1
KIRLFER,Kirl. Ferrous,1
MAITHANALL,Maithan Alloys,1
MANAKSTEEL,Manaksia Steels,1
MUKANDLTD,Mukand,1
NSLNISP,NMDC Steel,1
OWAIS,Owais Metal,1
PRAKASH,Prakash Industri,1
QVCEL,QVC Exports,2
SAIL,S A I L,1
SALSTEEL,S.A.L Steel,1
SARDAEN,Sarda Energy,1
SHKSIL,Shri Hare-Krish.,2
SHYAMCENT,Shyam Century,2
TATASTEEL,Tata Steel,1
VASWANI,Vaswani Industri,1
VISASTEEL,Visa Steel,1
VRAJ,Vraj Iron,1
