symbol,company_name,page
506543,M P Agro Inds.,3
509732,Kothari Indl,1
524204,Teesta Agro Ind.,2
524288,Aimco Pesticides,3
524534,Bhaskar Agrochem,2
524687,Basant Agro Tech,2
524808,Phyto Chem (I),3
526711,Adarsh Plant,3
530433,Shiva Global,3
530883,Super Crop Safe,3
531862,Bharat Agri Fert,2
542123,Phosphate Co,3
543207,Natural Biocon,3
544611,Mahamaya Lifesc.,2
ADVANCE,Advance Agrolife,2
AGROPHOS,Agro Phos India,3
AMBEY,Ambey Laborator.,3
ANYA,Anya Polytech &,2
ARIES,Aries Agro,2
ARISTO,Aristo Bio-Tech,2
ASTEC,Astec Lifescienc,1
BALAJIPHOS,Balaji Phos.,2
BAYERCROP,Bayer Crop Sci.,1
BESTAGRO,Best Agrolife,2
BHAGCHEM,Bhagiradha Chem.,1
BHARATRAS,Bharat Rasayan,1
BOHRAIND,Bohra Industries,3
CHAMBLFERT,Chambal Fert.,1
CLSL,Crop Life Scienc,2
COROMANDEL,Coromandel Inter,1
DHANUKA,Dhanuka Agritech,1
DHARMAJ,Dharmaj Crop,2
FACT,F A C T,1
GSFC,G S F C,1
GSPCROP,GSP Crop Science,1
HERANBA,Heranba Inds,2
IGCL,Indogulf Cropsci,2
INSECTICID,Insecticid.India,1
IPL,India Pesticides,1
KHAICHEM,Khaitan Chemical,2
KRISHANA,Krishana Phosch.,1
MADRASFERT,Madras Fertilize,2
MBAPL,M B Agro Prod.,1
MOL,Meghmani Organi.,2
NACLIND,NACL Industries,1
NAGAFERT,Nagarjuna Fert.,2
NFL,Natl.Fertilizer,1
NOVAAGRI,Nova Agritech,2
PARADEEP,Paradeep Phosph.,1
PIIND,P I Industries,1
PUNJABCHEM,Punjab Chemicals,2
RALLIS,Rallis India,1
RAMAPHO,Rama Phosphates,2
RCF,R C F,1
SHARDACROP,Sharda Cropchem,1
SHIVALIK,Shivalik Rasayan,2
SIKKO,Sikko Industries,2
SPIC,S P I C,1
SUMICHEM,Sumitomo Chemi.,1
UPL,UPL,1
ZUARI,Zuari Agro Chem.,2
