symbol,company_name,page
21STCENMGM,21st Cent. Mgmt.,3
360ONE,360 ONE,1
500069,Quest Capital,2
512393,Shardul Sec.,2
530585,Swastika Investm,3
530723,Asit C Mehta Fin,3
531169,SKP Securities,3
531176,Mefcom Capital,3
531359,Shriram AMC,2
531600,Gogia Capital,3
531861,Joindre Capital,3
532053,Wallfort Fin.,3
535431,GCM Securit.,3
538862,My Money Sec.,3
539692,Interactive Fin,3
540192,LKP Securities,3
543623,Vedant Asset,3
543753,Dharni Capital,2
544141,Pune e,2
544340,Rikhav Securitie,2
544467,N S D L,1
544560,Sodhani Capital,3
5PAISA,5paisa Capital,2
ABSLAMC,Aditya AMC,1
ALMONDZ,Almondz Global,2
ANANDRATHI,Anand Rathi Wea.,1
ANGELONE,Angel One,1
ARIHANTCAP,Arihant Capital,2
ARSSBL,Anand Rathi Shar,1
BEACON,Beacon Trust.,2
BIRLAMONEY,Adit.Birla Money,2
BSE,BSE,1
CAMS,Cams Services,1
CARERATING,CARE Ratings,1
CDSL,C D S L,1
CRAMC,Canara Robeco,1
DAMCAPITAL,Dam Capital Advi,2
DBSTOCKBRO,DB Intl.Stock,3
DOLATALGO,Dolat Algotech,2
EMKAY,Emk.Global Fin.,2
GCSL,Gretex Corporate,2
GEOJITFSL,Geojit Fin. Ser.,2
GROWW,Billionbrains,1
HDFCAMC,HDFC AMC,1
HYBRIDFIN,Hybrid Financial,3
ICICIAMC,ICICI AMC,1
ICRA,ICRA,1
IEX,Indian Energy Ex,1
IIFLCAPS,IIFL Capital,1
INDBANK,Indbank Merchant,2
INDOTHAI,Indo Thai Sec.,1
INVENTURE,Inventure Grow.,3
IVC,IL&FS Inv.Manag.,2
KEYFINSERV,Keynote Finan.,2
KFINTECH,KFin Technolog.,1
KHANDSE,Khandwala Sec.,3
MASTERTR,Master Trust,2
MCX,Multi Comm. Exc.,1
MONARCH,Monarch Networth,2
MOTILALOFS,Motil.Oswal.Fin.,1
NAM-INDIA,Nippon Life Ind.,1
NUVAMA,Nuvama Wealth,1
ONELIFECAP,Onelife Capital,3
PRUDENT,Prudent Corp.,1
SHAREINDIA,Share India Sec.,2
SMCGLOBAL,SMC Global Sec.,2
STEELCITY,Steel City Sec.,2
SYSTMTXC,Systematix Corp.,2
UTIAMC,UTI AMC,1
