symbol,company_name,page
3PLAND,3P Land Hold.,11
500142,FGP,18
500143,P. H. Capital,7
500202,India Lease Dev.,18
500206,Margo Finance,13
500298,Naperol Invest.,6
500358,Rama Petrochem,14
500450,MPIL Corporation,14
501148,Dalal Street Inv,18
501151,Kartik Invest.,10
501298,Indl.& Prud.Inv.,4
501311,Jayabharat Cred.,19
501386,E & E Enterprises,21
501700,IndiaNivesh,13
501945,Dhenu Buildcon,3
503624,Svaraj Trading,17
503635,Shree Salasar,5
503663,Tilak Ventures,8
503681,Elcid Investment,3
504180,Standard Battery,15
504340,Longspur Intl,19
504346,RRPSemiconductor,2
505216,Alfred Herbert,7
505502,PS IT Infra,20
505515,Shyamkamal Inv,13
506105,Stanrose Mafat.,13
507864,Pioneer Invest,9
507912,LKP Finance,4
507938,Manipal Fin. Cor,17
507946,Kiduja India,12
507948,Key Corp,12
507962,Fynx Capital,9
507968,Jolly Plastic,16
508905,Nexome Cap. Mkt.,10
508956,HB Leasing &Fin.,16
508963,Trustwave,18
508969,Sulabh Engineers,14
509024,Golden Legand Ls,16
509038,Voltaire Leasing,20
509051,Indian Infotech,9
509053,Banas Finance,11
509470,Bombay Oxygen,6
509760,Modern Shares,19
509945,Thacker & Co.,9
511000,Madhusudan Sec.,12
511012,Yamini Invest,13
511066,Sakthi Finance,7
511110,V B Desai Fin.,20
511122,First Custodian,17
511260,Iconik Sports,8
511355,India Cem. Cap.,14
511359,AD Manum Finance,12
511377,Mehta Integrat.,16
511391,Inter Globe Fin,10
511401,Munoth Commun.,19
511441,Guj. Credit Corp,10
511451,Dharani Finance,20
511493,Shrydus Indust.,18
511501,Bharat Bhushan,16
511507,Ushakiran Fin.,16
511525,Pan India Corpor,12
511533,Sahara Housing,13
511535,NDA Securities,14
511539,Supra Trends,15
511543,GSB Finance,15
511549,Morarka Finance,14
511571,Crescentis Capital,7
511577,Mantra Capital,11
511593,Libord Finance,13
511609,ISL Consulting,10
511626,R R Fin. Cons.,9
511628,Fedders Holding,5
511636,DJS Stock,16
511654,Sugal & Damani,12
511660,Premium Capital,20
511688,Mathew Easow Res,19
511692,Ajcon Global,12
511696,Charter. Capital,9
511700,Std. Capital Mkt,9
511702,Yogi Ltd,5
511710,Cubical Finan,17
511712,Relic Tech.,12
511728,K Z Leasing,19
511730,Avasara Finance,13
511734,Pasupati Fincap,20
511738,Mehta Securities,18
511754,Shalibhadra Fin.,6
511756,Abirami Fin.,15
511758,Mansi Fin.(Chen),14
511764,AastamangalamFin,11
512018,Tomorrow Tech.,9
512020,Saraswati Commer,4
512048,Dhansafal Fin,10
512065,Mrugesh Trading,4
512197,Silveroak Comm,21
512217,Prism Medico,16
512247,Ashirwad Cap.,14
512345,Yash Trad.& Fin.,8
512399,Sera Investments,7
512437,Apollo Finvest,8
512481,Polytex India,19
512489,Oasis Securities,15
512493,Garnet Intl.,9
514238,MKVentures Cap.,6
514358,Everlon Fin.,11
519214,Williamson Fin.,20
522209,Yogi Infra Proj.,18
523019,B N Rathi Sec.,11
523062,J J Finance Corp,15
523113,Futuristic Sec.,19
523465,Ind Bank Housing,12
523862,Grand Oak Canyon,3
526071,Stellant Secu.,6
526237,Morgan Ventures,12
526251,Mid East Port.,18
526859,ISF,19
