symbol,company_name,page
500028,ATV Projects,5
500068,Disa India,2
500147,John Cockerill,2
500246,Envair Electrody,7
500360,Rapicut Carbides,6
502271,Raasi Refractor,8
504959,Stovec Inds.,4
505250,G G Dandekar,7
505285,Tulive Developer,5
505299,KPT Industries,5
505302,Lakshmi Engg.,5
505320,Lynx Machinery,7
505358,Integra Engg.,3
505703,Satani Bearings,3
505737,Intl. Combustion,5
505750,Josts Engg. Co.,4
505797,Mipco Seaml Ring,8
505872,WPIL,1
507944,Bajaj Steel Inds,3
509015,Thakral Services,7
512297,Shantai Indust.,6
513575,Sterling Powerg.,8
517258,Prec. Electronic,5
517397,Pan Electronics,7
517417,Patels Airtemp,5
517514,D & H India,4
522001,Cranex,6
522004,Batliboi,4
522005,Austin Engg Co,7
522017,Fluidomat,4
522027,EMA India,6
522036,Miven Mach. Tool,7
522101,Kilburn Engg.,2
522105,Birla Precision,4
522134,Artson,3
522152,Solitaire Mach.,6
522171,TMT (I),8
522183,ITL Industries,6
522237,Shivagrico Impl.,8
522245,Iykot Hitech,7
522251,Cenlub Industrie,6
522267,Veejay Lak. Eng.,7
522294,T & I Global,6
522650,Bemco Hydraulics,4
523100,Cosmo Ferrites,5
523752,Trans India,7
523850,Axtel Industries,3
526043,Polymechplast Ma,7
526604,Lippi Systems,7
526861,Rishi Laser,5
526931,Hariyana Ship,6
530267,Arigato Universe,7
531233,Rasi Electrodes,7
531594,Incon Engineers,8
531661,Hittco Tools,8
531888,Rexnord Electr.,6
531911,Galaxy Agrico,6
531944,Lexoraa Ind,8
531997,IKOMA Technologies,6
532329,Danlaw Tech.,4
537326,Chemtech Indust.,5
537669,Laxmipati Engg,5
538401,M E T S,6
538707,Rajasthan Cylind,8
539176,Hawa Engineers,7
539227,Loyal Equipments,5
539479,GTV Engineering,4
540519,Meera Industries,5
540652,Captain Techno.,3
541178,Benara Bearings,7
541228,Taylormade Renew,5
541353,Innovators,4
542682,Harish Textile,7
542801,Misquita Engg.,6
543065,SM Auto Stamping,7
543172,Cospower Engine.,5
543460,Quality RO Indu.,7
543606,Containe Tech.,8
543619,Concord Control,2
544001,Sunita Tools Ltd,3
544023,Kalyani Cast-Tec,3
544025,Arrowhead Sepera,7
544074,Shri Balaji,6
544112,Jasch Gauging,4
544157,Vruddhi Engineer,6
544185,Adtech Systems,6
544186,Forbes Precision,3
544332,Fabtech Techn.,4
544399,Srigee DLM,6
544440,Cryogenic OGS,4
544458,Shree Refrigerat,3
544516,Airfloa Rail,3
544518,L. T. Elevator,4
544531,True Colors,4
544607,Shining Tools,7
544627,Purple Wave Info,5
544656,HRS Aluglaze,3
544669,Admach Systems,5
544671,Apollo Techno,5
544675,Gabion Technol.,6
AARON,Aaron Industries,4
AFFORDABLE,Affordable Robo.,5
AIMTRON,Aimtron,2
ANUP,The Anup Enginee,1
ATAM,Atam Valves,6
AURIGROW,Auri Grow India,6
BAJAJINDEF,Indef Manufactur,3
BEWLTD,BEW Engg,6
BOSS,Boss Packaging,7
CENTUM,Centum Electron,1
COCHINSHIP,Cochin Shipyard,1
CPPLUS,Aditya Infotech,1
CROWN,Crown Lifters,5
CYIENTDLM,Cyient DLM,2
DEEDEV,DEE Development,2
DUCON,Ducon Tech,6
DYNAMATECH,Dynamatic Tech.,1
EIMCOELECO,Eimco Elecon(I),3
EKC,Everest Kanto,2
EMKAYTOOLS,Emkay Taps & Cut,5
EMMIL,Energy-Mission,5
EPACKPEB,EPack PrefabTech,2
ETL,Emkay Tools,3
FAALCON,Faalcon Concepts,7
GALAPREC,Gala Precis. Eng,3
GLOBALPET,Global Pet Indus,5
GMMPFAUDLR,GMM Pfaudler,1
GUJAPOLLO,Guj Apollo Inds,3
HERCULES,Hercules Investments,4
HIRECT,Hind Rectifiers,2
HLEGLAS,HLE Glascoat,2
HMT,HMT,2
HONAUT,Honeywell Auto,1
HONDAPOWER,Honda India,2
HPL,HPL Electric,2
ICEMAKE,ICE Make Refrig.,2
INDIANHUME,Indian Hume Pipe,2
INTLCONV,Intl. Conveyors,3
ISHAN,Ishan Internat.,7
JASH,Jash Engineering,2
JNKINDIA,JNK,2
JWL,Jupiter Wagons,1
JYOTICNC,Jyoti CNC Auto.,1
KABRAEXTRU,Kabra Extrusion,3
KANORICHEM,Kanoria Chem.,4
KATARIA,Kataria Indust.,4
KAYNES,Kaynes Tech,1
KENNAMET,Kennametal India,1
LLOYDSENGG,Lloyds Engineeri,1
LMW,LMW,1
LOKESHMACH,Lokesh Mach.,3
MACPOWER,Macpower CNC,3
MAHEPC,Mahindra EPC,4
MAMATA,Mamata Machinery,3
MANUGRAPH,Manugraph India,7
MARINE,Marine Electric.,2
MAZDA,Mazda,4
MAZDOCK,Mazagon Dock,1
OMNI,Omnitech Engg.,1
PATILAUTOM,Patil Automation,4
PENIND,Pennar Industrie,2
PITTIENG,Pitti Engg.,1
PRAJIND,Praj Industries,1
PREMIER,Premier,8
PRESSTONIC,Presstonic Engi.,6
PRIZOR,Prizor Viztech,3
RAJOOENG,Rajoo Engineers,3
RVTH,Revathi Equip,5
SALASAR,Salasar Techno,2
SETL,Standard Engineering Technology,2
SHANTIGEAR,Shanthi Gears,1
SOMICONVEY,Somi Conv.Belt.,5
SONAMAC,Sona Machinery,6
SPECTRUM,Spectrum Electr.,1
SWANDEF,Swan Defence,1
SYRMA,Syrma SGS Tech.,1
TAURIAN,Taurian MPS,4
TEGA,Tega Inds.,1
TEXRAIL,Texmaco Rail,1
THEJO,Thejo Engg.,2
TITAGARH,Titagarh Rail,1
TRF,TRF,4
UNIDT,United Drilling,4
VINYAS,Vinyas Innovativ,2
WALCHANNAG,Walchan. Inds.,3
WINDMACHIN,Windsor Machines,2
