symbol,company_name,page
500357,Rama Paper Mills,3
500388,Sh. Krishna Pap.,2
502587,Nath Industries,2
502589,Vapi Enterprise,2
516020,Agio Paper,3
516062,Natl. Plywood,3
516096,Sangal Papers,2
516106,Sh. Karthik Pap.,3
516108,S I Paper Mills,2
523315,Purity Flex Pack,3
526179,Ludlow Jute,1
526435,Perfectpac,2
526490,Pratik Panels,2
526751,Gratex Industrie,3
530169,Mohit Paper Mill,2
530255,Kay Power &Paper,2
530755,Coral Newsprints,3
531436,Saffron Industri,2
531568,Tridev Infra.,3
531647,B J Duplex Board,2
531813,Ganga Papers,2
532397,Konndor Indust.,3
532701,Cella Space,2
532806,AI Champ.Inds.,2
533019,Simplex Papers,3
538795,Sh. Ajit Pulp,1
539120,Grameva,2
540954,Indian Wood Prod,1
541627,Gujarat Winding,3
543799,S. V. J. Enterp.,1
543830,Labelkraft Tech.,2
544214,Three M Paper,2
544392,Spinaroo Comm.,2
544417,Aten Papers,3
AARADHYA,Aaradhya Dis.,2
ABREL,A B Real Estate,1
ANDHRAPAP,Andhra Paper,1
ASTRON,Astron Paper,2
BALKRISHNA,Balkrishna Paper,2
CHEVIOT,Cheviot Company,1
EMAMIPAP,Emami Paper,1
EXIMROUTES,Exim Routes,1
GENUSPAPER,Genus Paper & Bo,1
GLOSTERLTD,Gloster Ltd,1
JKPAPER,JK Paper,1
KUANTUM,Kuantum Papers,1
MAGNUM,Magnum Ventures,2
MALUPAPER,Malu Paper,2
NIKITA,Nikita Greentech Recycling,1
NRAIL,N R Agarwal Inds,1
ORIENTPPR,Orient Paper,1
PAKKA,Pakka,1
PDMJEPAPER,Pudumjee Paper,1
RAMANEWS,Shree Rama News.,1
RUCHIRA,Ruchira Papers,1
SATIA,Satia Industries,1
SESHAPAPER,Seshasayee Paper,1
SHRENIK,Shrenik,2
SHREYANIND,Shreyans Inds.,2
STARPAPER,Star Paper Mills,1
TNPL,T N Newsprint,1
WSTCSTPAPR,West Coast Paper,1
