symbol,company_name,page
513536,Guj.Nat.Resour.,1
531306,DHP India,1
531471,Duke Offshore,1
544463,Repono,1
AAKASH,Aakash Explor.,1
ABAN,Aban Offshore,1
AEGISVOPAK,Aegis Vopak Term,1
ALPHAGEO,Alphageo (India),1
ANTELOPUS,Antelopus Selan,1
ASIANENE,Asian Energy,1
DEEPINDS,Deep Industries,1
DOLPHIN,Dolphin Offshore,1
GANESHBE,Ganesh Benzopl.,1
HINDOILEXP,Hind.Oil Explor.,1
JINDRILL,Jindal Drilling,1
OIL,Oil India,1
OILCOUNTUB,Oil Country,1
ONGC,O N G C,1
PRABHA,Prabha Energy,1
