symbol,company_name,page
502893,United Interacti,4
511447,Sylph Industries,3
512379,Cressanda Railwa,3
512405,I Power Solution,5
516038,KS Smart Technlogies,1
517119,PCS Technology,4
517415,Lee & Nee Soft.,4
517477,Elnet Technolog,3
521005,Titan Intech,3
524594,Aeonx Digital,4
524622,iStreet Network,2
526544,SGL Resources,4
530669,Ace Engitech,4
530745,ACS Tech,2
530951,Ram Info,4
531960,Kashyap TeleMed.,4
532373,WEP Solutions,3
532402,USG Tech,4
532404,Saven Tech.,4
533056,Vedavaag Systems,4
534535,String Metaverse,1
538742,Panabyte Tech,4
539122,Bodhtree Consul.,4
540189,Unipro Technolgy,4
540416,Octaware Tech.,4
540590,Riddhi Corporate,3
543897,Sancode Tech.,3
543931,Veefin Solutions,2
544052,Benchmark Comp.,4
544094,Euphoria Infotec,5
544189,Sattrix Infor.,2
544190,3C IT Solutions,5
544393,Infonative Solu.,4
544406,Unified Data,2
544441,Meta Infotech,3
544471,Takyon Networks,4
544483,Icodex Publish.,4
544494,Globtier Infotec,4
544538,Praruh Tech,3
544567,Infinity Infoway,3
544626,Exato Technologies,2
544643,Prodocs Solution,3
ADROITINFO,Adroit Info.,4
ADSL,Allied Digital,2
AFFLE,Affle 3i,1
AIRAN,Airan,3
AMAGI,Amagi Media Labs,1
ASMS,Bartronics India,2
AURUM,Aurum Proptech,1
BBOX,Black Box,1
BCG,Brightcom Group,1
BGLOBAL,Bharatiya Glob.,5
BLSE,BLS E-Services,1
CIGNITITEC,Cigniti Tech.,1
CYIENT,Cyient,1
DATAMATICS,Datamatics Glob.,1
DCM,DCM,3
DEVIT,Dev Information,3
DIGISPICE,DigiSpice Tech.,2
DIGITIDE,Digitide Solutio,1
DSSL,Dynacons Sys.,2
E2E,E2E Networks,1
EMUDHRA,eMudhra,1
ENFUSE,Enfuse Solutions,3
ENSER,Enser,3
EXCELSOFT,Excelsoft Tech.,2
EXPLEOSOL,Expleo Solutions,2
FCSSOFT,FCS Software,2
GENESYS,Genesys Intl.,2
GSS,GSS Infotech,4
GSTL,Globesecure Tech,3
HGM,Handson Global,3
IKS,Inventurus Knowl,1
INSPIRISYS,Inspirisys Sol.,2
INTENTECH,Intense Tech.,3
IVALUE,Ivalue Infosolut,1
IZMO,IZMO,2
KELLTONTEC,Kellton Tech,2
LTTS,L&T Technology,1
MGSL,Matrix Geo Sol.,3
NETWEB,Netweb Technol.,1
NPST,Network People,1
ODIGMA,Odigma Consultan,3
ONWARDTEC,Onward Technolog,2
OPTIVALUE,Optivalue Tek,3
ORIENTTECH,Orient Tech.,2
PALREDTEC,Palred Technolog,4
PANACHE,Panache Digilife,2
PROTEAN,Protean eGov,1
QUADPRO,Quadpro ITeS,5
ROXHITECH,ROX Hi-Tech,3
RSYSTEMS,R Systems Intl.,1
SAGILITY,Sagility,1
SAHANA,Sahana Systems,2
SASKEN,Sasken Technol.,1
SECURKLOUD,SecureKloud Tech,3
SIGMA,Sigma Solve,2
SYNOPTICS,Synoptics Techno,4
TATATECH,Tata Technolog.,1
TECHD,TechD Cybersec.,2
TERASOFT,Tera Software,2
VAKRANGEE,Vakrangee,2
VERTEXPLUS,Vertexplus Tech.,4
VLEGOV,VL E-Governance,3
ZAGGLE,Zaggle Prepaid,1
