symbol,company_name,page
500016,Aruna Hotels,4
500213,Intl. Travel Hse,3
506134,Gourmet Gateway,3
507265,Emerald Leisures,3
507836,Mac Charles(I),2
507960,Gujarat Hotels,3
507966,Ras Resorts,5
507981,Jindal Hotels,4
508664,Best Eastern Hot,5
509438,Benares Hotels,2
509546,Graviss Hospital,3
509953,Trade-Wings,3
509960,U P Hotels,2
512634,Savera Industrie,3
514402,Eco Hotels,4
523710,Sayaji Hotels,2
526373,Cindrella Hotels,4
526477,South Asian Ent.,5
526500,Sterling Green,5
526628,Ajwa Fun World,4
526640,Royale Manor,4
526721,Nicco Parks,3
526755,Velan Hotels,4
526761,Howard Hotels,4
526959,Woodsvilla,5
530065,Lords Ishwar,5
531637,Praveg,2
531692,Khyati Multimed.,5
532016,Espire Hospi,2
532124,Reliable Ventur.,4
532145,H. S. India,5
532992,CHL,3
537839,Phoenix Township,3
538521,Yaan Enterprises,4
538731,Hanman Fit,5
539273,Pecos Hotels,4
539659,Vikram Kamats,4
539895,Spice LoungeFood,2
540782,Sanghvi Brands,5
541973,Mac Hotels,4
543538,Goel Food,5
543541,Sailani Tours N,5
544080,Sayaji (Indore),3
544090,Sayaji Hot. Pune,3
544242,Travels & Rent.,4
544245,Naturewings Hol.,4
544304,Jungle Camps,3
544341,Landmark Global,4
544433,Valencia India,5
544489,LGT Business,4
544630,Helloji Holidays,4
544636,Western Overseas,5
ADVANIHOTR,Advani Hotels.,2
ADVENTHTL,Advent Hotels,2
AHLEAST,Asian Hotels (E),3
APOLSINHOT,Apollo Sindoori,3
ASIANHOTNR,Asian Hotels (N),2
BIRDYS,Grill Splendour,3
BLS,BLS Internat.,1
BLUECOAST,Blu.Coast Hotel.,4
BRIGHOTEL,Brigade Hotel,2
BYKE,The Byke Hospi.,3
CCHHL,Country Club Hos,3
CHALET,Chalet Hotels,1
COFFEEDAY,Coffee Day Enter,2
DBREALTY,Valor Estate,1
DELTACORP,Delta Corp,2
DEVYANI,Devyani Intl.,1
DIL,Debock Industrie,4
DUGLOBAL,DU Digital,3
EASEMYTRIP,Easy Trip Plann.,1
EIHAHOTELS,EIH Assoc.Hotels,2
EIHOTEL,EIH,1
GCHOTELS,Grand Continent,3
HAVISHA,Sri Havisha,4
HLVLTD,HLV,2
IMAGICAA,Imagica. Enter.,2
INDHOTEL,Indian Hotels Co,1
IRCTC,I R C T C,1
ITCHOTELS,ITC Hotels,1
ITDC,I T D C,1
IXIGO,Le Travenues,1
JUBLFOOD,Jubilant Food.,1
JUNIPER,Juniper Hotels,1
KAMATHOTEL,Kamat Hotels,2
KAUSHALYA,Kaushalya Infra.,4
KAYA,Kaya Ltd,3
LEMONTREE,Lemon Tree Hotel,1
LLOYDS,Lloyds Luxuries,3
MHRIL,Mahindra Holiday,1
ORIENTHOT,Oriental Hotels,2
PARKHOTELS,Apeejay Surrend.,2
RBA,Restaurant Brand,1
RHL,Robust Hotels,3
ROHLTD,Royal Orch.Hotel,2
SAJHOTELS,Saj Hotels,4
SAMHI,Samhi Hotels,1
SAPPHIRE,Sapphire Foods,1
SINCLAIR,Sinclairs Hotels,3
SPECIALITY,Speciality Rest.,2
SUBAHOTELS,Suba Hotels,3
TAJGVK,TajGVK Hotels,2
TBOTEK,TBO Tek,1
TGBHOTELS,TGB Banquets,4
THELEELA,Leela Palaces Hotels,1
THOMASCOOK,Thomas Cook (I),1
TRAVELFOOD,Travel Food,1
TSC,TSC India,4
UFBL,United Foodbrands,2
UNIVAFOODS,Univa Foods,5
VENTIVE,Ventive Hospital,1
VHLTD,Viceroy Hotels,2
WESTLIFE,Westlife Food,1
WINNY,Winny Immigratio,5
WONDERLA,Wonderla Holiday,1
YATRA,Yatra Online,2
